Parent and Person SubClassOf Father,  False.
Thing SubClassOf Parent,  Sure!
Thing SubClassOf Daughter,  False.
Thing SubClassOf Man,  False.
Thing SubClassOf Mother,  False.
Thing SubClassOf GrandParent,  To answer
Thing SubClassOf Sex,  False.
Thing SubClassOf Sister,  False.
Thing SubClassOf OffSpring,  False.
Thing SubClassOf Woman,  False.
Thing SubClassOf Male,  False.
Thing SubClassOf Sibling,  False.
Thing SubClassOf GrandFather,  If \
Female SubClassOf GrandMother,  False.
Female SubClassOf Son,  False.
Female SubClassOf Father,  False.
Female SubClassOf Child,  False.
Female SubClassOf Person,  True.
Father and Mother SubClassOf Son,  False.
GrandFather and Woman SubClassOf Brother,  False.
Child and Person SubClassOf Male,  False.
Female and GrandMother SubClassOf OffSpring,  False.
Father and Mother SubClassOf OffSpring,  False.
Parent and Sister SubClassOf Child,  False.
Man SubClassOf Son,  True,
Man SubClassOf GrandMother,  False.
Man SubClassOf Thing,  True.
Man SubClassOf Son and Thing,  True.
Man SubClassOf Female,  False.
Man SubClassOf Father,  False.
Man SubClassOf Child,  False.
Man SubClassOf Person,  True.
Man SubClassOf Person and Son and Thing,  True,
Man SubClassOf Brother,  False.
Man SubClassOf Parent, False.
Man SubClassOf Daughter,  False.
Man SubClassOf Mother,  False.
Man SubClassOf GrandParent,  False.
Man SubClassOf Sex,  False.
Man SubClassOf Sister,  False.
Man SubClassOf OffSpring,  True.
Man SubClassOf OffSpring and Person and Son and Thing,  False.
Man SubClassOf Woman,  False.
Man SubClassOf Male,  True.
Man SubClassOf Male and Person and Son and Thing,  True,
Man SubClassOf Sibling,  False.
Man SubClassOf GrandFather,  False.
Man SubClassOf Male and OffSpring and Person and Son and Thing,  False.
hasSex some Woman SubClassOf Male,  False.
hasChild some Child SubClassOf Child,  False.
hasParent some OffSpring SubClassOf Person,  True.
hasParent some OffSpring SubClassOf GrandMother,  False.
hasParent some OffSpring SubClassOf Son,  True.
OffSpring SubClassOf Son,  True.
OffSpring SubClassOf GrandMother,  False.
OffSpring SubClassOf Thing,  True.
OffSpring SubClassOf Son and Thing,  True,
OffSpring SubClassOf Female,  False.
OffSpring SubClassOf Father,  False.
OffSpring SubClassOf Child,  False.
OffSpring SubClassOf Person,  True.
OffSpring SubClassOf Person and Son and Thing,  True,
OffSpring SubClassOf Brother,  False.
OffSpring SubClassOf Parent,  False.
OffSpring SubClassOf Daughter,  False.
OffSpring SubClassOf Man,  True.
OffSpring SubClassOf Man and Person and Son and Thing,  The ont
OffSpring SubClassOf Mother,  False.
OffSpring SubClassOf GrandParent,  False.
OffSpring SubClassOf Sex,  False.
OffSpring SubClassOf Sister,  False.
OffSpring SubClassOf Woman,  False.
OffSpring SubClassOf Male,  False.
OffSpring SubClassOf Sibling,  False.
OffSpring SubClassOf GrandFather,  False.
hasSibling some Son SubClassOf Person,  True.
hasSibling some Son SubClassOf GrandMother,  False.
hasSibling some Son SubClassOf Son,  False.
hasSibling some Son SubClassOf Female,  False.
hasSibling some Son SubClassOf Father,  False.
hasSibling some Son SubClassOf Child,  True.
Son SubClassOf Child,  False.
Thing SubClassOf Thing and (hasSibling some (Son and Thing)),  False.
Son and Thing SubClassOf GrandMother,  False.
Son and Thing SubClassOf Female,  False.
Son and Thing SubClassOf Father,  False.
Son and Thing SubClassOf Child,  False.
Son and Thing SubClassOf Person,  False.
Son and Thing SubClassOf Brother,  False.
Son and Thing SubClassOf Parent,  False.
Son and Thing SubClassOf Daughter,  False.
Son and Thing SubClassOf Man,  False.
Son and Thing SubClassOf Mother,  False.
Son and Thing SubClassOf GrandParent,  False.
Son and Thing SubClassOf Sex,  False.
Son and Thing SubClassOf Sister,  False.
Son and Thing SubClassOf OffSpring,  False.
Son and Thing SubClassOf Woman,  False.
Son and Thing SubClassOf Male,  False.
Son and Thing SubClassOf Sibling,  False.
Son and Thing SubClassOf GrandFather,  False.
Thing and (hasSibling some Son) and (hasSibling some Thing) SubClassOf Thing and (hasSibling some (Son and Thing)),  The answer
Thing and (hasSibling some Son) and (hasSibling some Thing) SubClassOf Child,  False.
Thing and (hasSibling some (Son and Thing)) SubClassOf Thing and (hasSibling some (Son and Thing)),  True.
Thing and (hasSibling some Thing) SubClassOf Child,  True.
Man and Son SubClassOf Daughter,  False.
Male and Mother SubClassOf Sibling,  False.
GrandFather and Sibling SubClassOf Sex,  False.
Father and Male SubClassOf Mother,  False.
Father and GrandFather SubClassOf Mother,  False.
Child and Parent SubClassOf Woman,  False.
Brother and Person SubClassOf Daughter,  False.
Brother and Woman SubClassOf Female,  False.
Child and Woman SubClassOf Daughter,  False.
Female and Man SubClassOf Mother,  False.
Mother and Person SubClassOf Sex,  False.
hasChild some GrandParent SubClassOf Brother,  False.
Sibling and Sister SubClassOf Brother,  False.
Female and Person SubClassOf Woman,  False.
GrandParent and Person SubClassOf GrandFather,  False.
Male and OffSpring SubClassOf Father,  False.
Child SubClassOf hasSex some Sister,  False.
Female and Sibling SubClassOf Man,  False.
Female and Mother SubClassOf Father,  False.
Daughter and GrandMother SubClassOf GrandParent,  False.
Man and Sex SubClassOf GrandParent,  False.
Parent SubClassOf hasChild some Sister,  False.
hasChild some Person SubClassOf Person,  True.
hasChild some Person SubClassOf GrandMother,  True.
Person SubClassOf GrandMother,  False.
Thing SubClassOf Thing and (hasChild some (Person and Thing)),  True.
Person and Thing SubClassOf GrandMother,  False.
Person and Thing SubClassOf Son,  False.
Person and Thing SubClassOf Female,  False.
Person and Thing SubClassOf Father,  False.
Person and Thing SubClassOf Child,  False.
Person and Thing SubClassOf Brother,  False.
Person and Thing SubClassOf Parent,  The statement
Person and Thing SubClassOf Daughter,  False.
Person and Thing SubClassOf Man,  False.
Person and Thing SubClassOf Mother,  False.
Person and Thing SubClassOf GrandParent,  False.
Person and Thing SubClassOf Sex,  False.
Person and Thing SubClassOf Sister,  False.
Person and Thing SubClassOf OffSpring,  False.
Person and Thing SubClassOf Woman,  False.
Person and Thing SubClassOf Male,  False.
Person and Thing SubClassOf Sibling,  False.
Person and Thing SubClassOf GrandFather,  False.
Thing and (hasChild some Person) and (hasChild some Thing) SubClassOf Thing and (hasChild some (Person and Thing)),  True.
Thing and (hasChild some (Person and Thing)) SubClassOf Thing and (hasChild some (Person and Thing)),  True.
Thing and (hasChild some Thing) SubClassOf GrandMother,  False.
Sex SubClassOf hasSibling some Man,  False.
OffSpring and Sister SubClassOf Daughter,  False.
Brother and GrandParent SubClassOf GrandFather,  False.
Daughter SubClassOf hasParent some GrandFather,  True.
Daughter SubClassOf GrandMother,  False.
Daughter SubClassOf Son,  False.
Daughter SubClassOf Female,  True,
Daughter SubClassOf Thing,  True.
Daughter SubClassOf Female and Thing,  True.
Daughter SubClassOf Father,  True.
Daughter SubClassOf Father and Female and Thing,  True\n
Daughter SubClassOf Child,  False.
Daughter SubClassOf Person,  True.
Daughter SubClassOf Father and Female and Person and Thing,  True\n
Daughter SubClassOf Brother,  False.
Daughter SubClassOf Parent,  True.
Daughter SubClassOf Father and Female and Parent and Person and Thing,  The statement
Daughter SubClassOf Man,  False.
Daughter SubClassOf Mother,  False.
Daughter SubClassOf GrandParent,  True.
Daughter SubClassOf Father and Female and GrandParent and Person and Thing,  The statement
Daughter SubClassOf Sex,  False.
Daughter SubClassOf Sister,  False.
Daughter SubClassOf OffSpring,  True.
Daughter SubClassOf Father and Female and OffSpring and Person and Thing,  True,
Daughter SubClassOf Woman,  True.
Daughter SubClassOf Father and Female and OffSpring and Person and Woman and Thing,  True.
Daughter SubClassOf Male,  False.
Daughter SubClassOf Sibling,  False.
Daughter SubClassOf GrandFather,  False.
Daughter SubClassOf Father and Female and OffSpring and Parent and Person and Woman and Thing,  Here are
Daughter SubClassOf Father and Female and GrandParent and OffSpring and Person and Woman and Thing,  Here are
Child and Person SubClassOf GrandMother,  False.
GrandFather SubClassOf hasSibling some Woman,  False.
Person and Sister SubClassOf Parent,  True.
Person and Sister SubClassOf GrandMother,  False.
Person and Sister SubClassOf Son,  False.
Person and Sister SubClassOf Female,  False.
Person and Sister SubClassOf Father,  False.
Person and Sister SubClassOf Child,  False.
Person and Sister SubClassOf Brother,  False.
Sister SubClassOf Parent,  True.
Sister SubClassOf GrandMother,  False.
Sister SubClassOf Thing,  True.
Sister SubClassOf Parent and Thing,  True,
Sister SubClassOf Son,  False.
Sister SubClassOf Female,  False.
Sister SubClassOf Father,  False.
Sister SubClassOf Child,  False.
Sister SubClassOf Person,  True.
Sister SubClassOf Parent and Person and Thing,  True,
Sister SubClassOf Brother,  False.
Sister SubClassOf Daughter,  False.
Sister SubClassOf Man,  False.
Sister SubClassOf Mother,  False.
Sister SubClassOf GrandParent,  True.
Sister SubClassOf GrandParent and Parent and Person and Thing,  True\n
Sister SubClassOf Sex,  False.
Sister SubClassOf OffSpring,  False.
Sister SubClassOf Woman,  True.
Sister SubClassOf GrandParent and Parent and Person and Woman and Thing,  False.
Sister SubClassOf Male,  False.
Sister SubClassOf Sibling,  False.
Sister SubClassOf GrandFather,  The answer
Daughter and GrandFather SubClassOf Male,  False.
Daughter and GrandMother SubClassOf Man,  False.
GrandFather and Man SubClassOf Daughter,  False.
Male and Sister SubClassOf Child,  False.
OffSpring and Sibling SubClassOf Man,  True.
OffSpring and Sibling SubClassOf GrandMother,  False.
OffSpring and Sibling SubClassOf Female,  False.
OffSpring and Sibling SubClassOf Father,  False.
OffSpring and Sibling SubClassOf Child,  True.
Sibling SubClassOf Child,  True,
Sibling SubClassOf GrandMother,  False.
Sibling SubClassOf Thing,  True.
Sibling SubClassOf Child and Thing,  True.
Sibling SubClassOf Son,  False.
Sibling SubClassOf Female,  False.
Sibling SubClassOf Father,  False.
Sibling SubClassOf Person,  True.
Sibling SubClassOf Child and Person and Thing,  True.
Sibling SubClassOf Brother,  False.
Sibling SubClassOf Parent,  False.
Sibling SubClassOf Daughter,  False.
Sibling SubClassOf Man,  False.
Sibling SubClassOf Mother,  False.
Sibling SubClassOf GrandParent,  False.
Sibling SubClassOf Sex,  False.
Sibling SubClassOf Sister,  False.
Sibling SubClassOf OffSpring,  True.
Sibling SubClassOf Child and OffSpring and Person and Thing,  True.
Sibling SubClassOf Woman,  False.
Sibling SubClassOf Male,  False.
Sibling SubClassOf GrandFather,  False.
Man SubClassOf hasSibling some Sister,  False.
GrandParent and Sister SubClassOf GrandMother,  False.
hasChild some Brother SubClassOf Father,  False.
GrandMother and Woman SubClassOf Sister,  False.
Son SubClassOf GrandFather,  False.
Daughter and Man SubClassOf GrandMother,  False.
GrandFather and GrandParent SubClassOf Daughter,  False.
Daughter SubClassOf hasSex some Child,  False.
Mother SubClassOf hasChild some Son,  True.
Mother SubClassOf GrandMother,  False.
Mother SubClassOf Son,  False.
Mother SubClassOf Female,  True.
Mother SubClassOf Thing,  True.
Mother SubClassOf Female and Thing,  True.
Mother SubClassOf Father,  False.
Mother SubClassOf Child,  False.
Mother SubClassOf Person,  True.
Mother SubClassOf Female and Person and Thing,  True,
Mother SubClassOf Brother,  False.
Mother SubClassOf Parent,  True.
Mother SubClassOf Female and Parent and Person and Thing,  The statement
Mother SubClassOf Daughter,  False.
Mother SubClassOf Man,  False.
Mother SubClassOf GrandParent,  True.
Mother SubClassOf Female and GrandParent and Person and Thing,  The answer
Mother SubClassOf Sex,  False.
Mother SubClassOf Sister,  False.
Mother SubClassOf OffSpring,  False.
Mother SubClassOf Woman,  True,
Mother SubClassOf Female and Person and Woman and Thing,  True,
Mother SubClassOf Male,  False.
Mother SubClassOf Sibling,  False.
Mother SubClassOf GrandFather,  False.
Mother SubClassOf Female and Parent and Person and Woman and Thing,  True:
Mother SubClassOf Female and GrandParent and Person and Woman and Thing,  The statement
GrandMother and Woman SubClassOf Parent,  True.
GrandMother and Woman SubClassOf Son,  False.
GrandMother and Woman SubClassOf Female,  True.
GrandMother SubClassOf Female,  True.
GrandMother SubClassOf Thing,  True.
GrandMother SubClassOf Female and Thing,  True.
GrandMother SubClassOf Son,  False.
GrandMother SubClassOf Father,  False.
GrandMother SubClassOf Child,  False.
GrandMother SubClassOf Person,  True.
GrandMother SubClassOf Female and Person and Thing,  True.
GrandMother SubClassOf Brother,  False.
GrandMother SubClassOf Parent,  True.
GrandMother SubClassOf Female and Parent and Person and Thing,  The answer
GrandMother SubClassOf Daughter,  False.
GrandMother SubClassOf Man,  False.
GrandMother SubClassOf Mother,  False.
GrandMother SubClassOf GrandParent,  True.
GrandMother SubClassOf Female and GrandParent and Person and Thing,  The answer
GrandMother SubClassOf Sex,  False.
GrandMother SubClassOf Sister,  False.
GrandMother SubClassOf OffSpring,  False.
GrandMother SubClassOf Woman,  True.
GrandMother SubClassOf Female and Person and Woman and Thing,  The answer
GrandMother SubClassOf Male,  False.
GrandMother SubClassOf Sibling,  False.
GrandMother SubClassOf GrandFather,  False.
Father SubClassOf hasSibling some Parent,  False.
Parent and Sex SubClassOf OffSpring,  False.
hasParent some Brother SubClassOf OffSpring,  True.
hasParent some Brother SubClassOf GrandMother,  False.
hasParent some Brother SubClassOf Son,  True.
Brother SubClassOf Son,  True.
Brother SubClassOf GrandMother,  False.
Brother SubClassOf Thing,  True.
Brother SubClassOf Son and Thing,  True.
Brother SubClassOf Female,  False.
Brother SubClassOf Father,  False.
Brother SubClassOf Child,  False.
Brother SubClassOf Person,  True.
Brother SubClassOf Person and Son and Thing,  True,
Brother SubClassOf Parent,  False.
Brother SubClassOf Daughter,  False.
Brother SubClassOf Man,  True.
Brother SubClassOf Man and Person and Son and Thing,  False.
Brother SubClassOf Mother,  False.
Brother SubClassOf GrandParent,  True.
Brother SubClassOf GrandParent and Person and Son and Thing,  False.
Brother SubClassOf Sex,  False.
Brother SubClassOf Sister,  False.
Brother SubClassOf OffSpring,  True.
Brother SubClassOf OffSpring and Person and Son and Thing,  True,
Brother SubClassOf Woman,  False.
Brother SubClassOf Male,  True.
Brother SubClassOf Male and OffSpring and Person and Son and Thing,  Here is
Brother SubClassOf Sibling,  False.
Brother SubClassOf GrandFather,  True.
Brother SubClassOf GrandFather and OffSpring and Person and Son and Thing,  Here is
Brother SubClassOf Man and OffSpring and Person and Son and Thing,  True.
Brother SubClassOf GrandParent and Man and OffSpring and Person and Son and Thing,  Here is
Brother SubClassOf Male and Man and OffSpring and Person and Son and Thing,  Here is
Brother SubClassOf GrandFather and Man and OffSpring and Person and Son and Thing,  Here is
GrandParent and Sex SubClassOf Child,  False.
GrandParent and Sister SubClassOf Male,  False.
Father and Female SubClassOf Sister,  False.
GrandFather and Man SubClassOf Woman,  False.
Child and Woman SubClassOf Sex,  False.
Child and Parent SubClassOf Female,  False.
Brother and OffSpring SubClassOf Mother,  False.
Father and GrandParent SubClassOf Woman,  False.
GrandMother and Man SubClassOf Woman,  False.
Brother SubClassOf hasSex some Mother,  False.
GrandFather and Son SubClassOf Child,  False.
Sibling and Son SubClassOf Brother,  False.
Male and Sex SubClassOf Brother,  False.
hasSibling some Sex SubClassOf Son,  False.
Father and Parent SubClassOf Woman,  False.
Male and Person SubClassOf Child,  False.
hasParent some Daughter SubClassOf Son,  True.
hasParent some Daughter SubClassOf GrandMother,  True.
Thing SubClassOf Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing)),  True.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf GrandMother,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Child,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Brother,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Parent,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Man,  The following
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Mother,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf GrandParent,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Sex,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Sister,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Male,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf Sibling,  False.
Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing SubClassOf GrandFather,  False.
Thing and (hasParent some Daughter) and (hasParent some (Father and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing)),  False.
Thing and (hasParent some Daughter) and (hasParent some (Father and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing)),  False.
Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Father and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Female and OffSpring and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and OffSpring and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and Female and Person and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and Female and OffSpring and Son and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Woman and Thing)) SubClassOf GrandMother,  False.
Thing and (hasParent some (Daughter and Father and Female and OffSpring and Person and Son and Thing)) SubClassOf GrandMother,  False.
hasSibling some GrandFather SubClassOf Father,  False.
Father and Person SubClassOf Sister,  False.
Male and Parent SubClassOf Man,  False.
hasParent some Father SubClassOf Father,  True.
hasParent some Father SubClassOf GrandMother,  False.
hasParent some Father SubClassOf Son,  True.
Father SubClassOf Son,  False.
Thing SubClassOf Thing and (hasParent some (Father and Thing)),  True.
Father and Thing SubClassOf GrandMother,  False.
Father and Thing SubClassOf Son,  False.
Father and Thing SubClassOf Female,  False.
Father and Thing SubClassOf Child,  False.
Father and Thing SubClassOf Person,  False.
Father and Thing SubClassOf Brother,  False.
Father and Thing SubClassOf Parent,  True.
Female and Parent SubClassOf GrandParent,  False.
Brother SubClassOf hasParent some GrandParent,  True.
Brother SubClassOf GrandParent and Thing,  True.
Brother SubClassOf GrandParent and Son and Thing,  True.
Brother SubClassOf GrandParent and Man and Son and Thing,  Here is
Brother SubClassOf GrandParent and OffSpring and Son and Thing,  True\n
Brother SubClassOf GrandParent and Male and OffSpring and Son and Thing,  True\n
Brother SubClassOf GrandFather and GrandParent and Male and OffSpring and Son and Thing,  Here is
Brother SubClassOf GrandFather and GrandParent and Male and Man and OffSpring and Person and Son and Thing,  Here is
Daughter and GrandFather SubClassOf Sibling,  False.
hasSex some Female SubClassOf Female,  True.
hasSex some Female SubClassOf GrandMother,  False.
hasSex some Female SubClassOf Son,  False.
Thing SubClassOf Thing and (hasSex some (Female and Person and Thing)),  True.
Female and Person and Thing SubClassOf GrandMother,  False.
Female and Person and Thing SubClassOf Son,  False.
Female and Person and Thing SubClassOf Father,  False.
Female and Person and Thing SubClassOf Child,  False.
Female and Person and Thing SubClassOf Brother,  False.
Female and Person and Thing SubClassOf Parent,  The statement
Female and Person and Thing SubClassOf Daughter,  False.
Female and Person and Thing SubClassOf Man,  False.
Female and Person and Thing SubClassOf Mother,  False.
Female and Person and Thing SubClassOf GrandParent,  False.
Female and Person and Thing SubClassOf Sex,  False.
Female and Person and Thing SubClassOf Sister,  False.
Female and Person and Thing SubClassOf OffSpring,  False.
Female and Person and Thing SubClassOf Woman,  False.
Female and Person and Thing SubClassOf Male,  False.
Female and Person and Thing SubClassOf Sibling,  False.
Female and Person and Thing SubClassOf GrandFather,  False.
Thing and (hasSex some Female) and (hasSex some (Person and Thing)) SubClassOf Thing and (hasSex some (Female and Person and Thing)),  True\n
Thing and (hasSex some (Female and Person and Thing)) SubClassOf Thing and (hasSex some (Female and Person and Thing)),  True\n
Thing and (hasSex some (Person and Thing)) SubClassOf Female,  False.
Thing and (hasSex some (Female and Thing)) SubClassOf Female,  False.
hasSibling some Mother SubClassOf Daughter,  True.
hasSibling some Mother SubClassOf GrandMother,  True.
Child and Thing SubClassOf Child and Thing and (hasSibling some (Female and Mother and Person and Woman and Thing)),  False.
Child and Thing SubClassOf GrandMother,  False.
Child and Thing SubClassOf Son,  False.
Child and Thing SubClassOf Female,  False.
Child and Thing SubClassOf Father,  False.
Child and Thing SubClassOf Person,  False.
Child and Thing SubClassOf Brother,  False.
Child and Thing SubClassOf Parent,  False.
Child and Thing SubClassOf Daughter,  False.
Child and Thing SubClassOf Man,  False.
Child and Thing SubClassOf Mother,  False.
Child and Thing SubClassOf GrandParent,  False.
Child and Thing SubClassOf Sex,  False.
Child and Thing SubClassOf Sister,  False.
Child and Thing SubClassOf OffSpring,  False.
Child and Thing SubClassOf Woman,  False.
Child and Thing SubClassOf Male,  False.
Child and Thing SubClassOf Sibling,  False.
Child and Thing SubClassOf GrandFather,  False.
Female and Mother and Person and Woman and Thing SubClassOf GrandMother,  False.
Female and Mother and Person and Woman and Thing SubClassOf Son,  False.
Female and Mother and Person and Woman and Thing SubClassOf Father,  False.
Female and Mother and Person and Woman and Thing SubClassOf Child,  False.
Female and Mother and Person and Woman and Thing SubClassOf Brother,  False.
Female and Mother and Person and Woman and Thing SubClassOf Parent,  False.
Female and Mother and Person and Woman and Thing SubClassOf Daughter,  False.
Female and Mother and Person and Woman and Thing SubClassOf Man,  False.
Female and Mother and Person and Woman and Thing SubClassOf GrandParent,  False.
Female and Mother and Person and Woman and Thing SubClassOf Sex,  False.
Female and Mother and Person and Woman and Thing SubClassOf Sister,  False.
Female and Mother and Person and Woman and Thing SubClassOf OffSpring,  False.
Female and Mother and Person and Woman and Thing SubClassOf Male,  False.
Female and Mother and Person and Woman and Thing SubClassOf Sibling,  False.
Female and Mother and Person and Woman and Thing SubClassOf GrandFather,  False.
Child and Thing and (hasSibling some Female) and (hasSibling some (Mother and Person and Woman and Thing)) SubClassOf Child and Thing and (hasSibling some (Female and Mother and Person and Woman and Thing)),  True.
Child and Thing and (hasSibling some (Female and Mother and Person and Woman and Thing)) SubClassOf Child and Thing and (hasSibling some (Female and Mother and Person and Woman and Thing)),  True.
Thing and (hasSibling some (Female and Mother and Person and Woman and Thing)) SubClassOf GrandMother,  False.
Child and Thing and (hasSibling some (Mother and Person and Woman and Thing)) SubClassOf GrandMother,  False.
Child and Thing and (hasSibling some (Female and Person and Woman and Thing)) SubClassOf GrandMother,  False.
Child and Thing and (hasSibling some (Female and Mother and Woman and Thing)) SubClassOf GrandMother,  False.
Child and Thing and (hasSibling some (Female and Mother and Person and Thing)) SubClassOf GrandMother,  False.
Woman SubClassOf hasSibling some GrandFather,  False.
Male and Sibling SubClassOf GrandFather,  False.
Daughter and Father SubClassOf Brother,  False.
Sister SubClassOf hasSex some Daughter,  False.
Man SubClassOf hasChild some Sibling,  False.
hasSex some Sibling SubClassOf Brother,  False.
hasChild some Female SubClassOf Mother,  True.
hasChild some Female SubClassOf Son,  False.
hasChild some Female SubClassOf Father,  False.
hasChild some Female SubClassOf Child,  False.
hasChild some Female SubClassOf Brother,  False.
hasChild some Female SubClassOf Parent,  True.
Female SubClassOf Parent,  False.
Female and GrandMother and Person and Thing SubClassOf Female and GrandMother and Person and Thing and (hasChild some (Female and Person and Thing)),  True.
Female and GrandMother and Person and Thing and (hasChild some Female) and (hasChild some (Person and Thing)) SubClassOf Female and GrandMother and Person and Thing and (hasChild some (Female and Person and Thing)),  True.
Female and GrandMother and Person and Thing and (hasChild some (Female and Person and Thing)) SubClassOf Female and GrandMother and Person and Thing and (hasChild some (Female and Person and Thing)),  True.
GrandMother and Person and Thing and (hasChild some (Female and Person and Thing)) SubClassOf Parent,  False.
Female and Person and Thing and (hasChild some (Female and Person and Thing)) SubClassOf Parent,  False.
Female and GrandMother and Thing and (hasChild some (Female and Person and Thing)) SubClassOf Parent,  False.
Female and GrandMother and Person and Thing and (hasChild some (Person and Thing)) SubClassOf Parent,  False.
Female and GrandMother and Person and Thing and (hasChild some (Female and Thing)) SubClassOf Parent,  False.
Woman SubClassOf hasParent some OffSpring,  True.
Woman SubClassOf GrandMother,  False.
Woman SubClassOf Son,  False.
Woman SubClassOf Female,  True.
Woman SubClassOf Thing,  True.
Woman SubClassOf Female and Thing,  True.
Woman SubClassOf Father,  False.
Woman SubClassOf Child,  False.
Woman SubClassOf Person,  True.
Woman SubClassOf Female and Person and Thing,  True\n
Woman SubClassOf Brother,  False.
Woman SubClassOf Parent,  False.
Woman SubClassOf Daughter,  False.
Woman SubClassOf Man,  False.
Woman SubClassOf Mother,  True.
Woman SubClassOf Female and Mother and Person and Thing,  True,
Woman SubClassOf GrandParent,  False.
Woman SubClassOf Sex,  True.
Woman SubClassOf Female and Mother and Person and Sex and Thing,  True:
Woman SubClassOf Sister,  False.
Woman SubClassOf OffSpring,  False.
Woman SubClassOf Male,  False.
Woman SubClassOf Sibling,  False.
Woman SubClassOf GrandFather,  False.
Child and GrandParent SubClassOf OffSpring,  True.
Child and GrandParent SubClassOf GrandMother,  False.
Child and GrandParent SubClassOf Son,  False.
Child and GrandParent SubClassOf Female,  False.
Child and GrandParent SubClassOf Father,  False.
