Parent and Person SubClassOf Father, \nTrue
Daughter SubClassOf Father and Female and Son and Thing, \nTrue
Daughter SubClassOf Child, \nTrue
Daughter SubClassOf Child and Father and Female and Son and Thing, \nHere
Daughter SubClassOf Person, \nFalse
Daughter SubClassOf Brother, \nFalse
Daughter SubClassOf Parent, \nTrue
Daughter SubClassOf Father and Female and Parent and Son and Thing, \nHere
Daughter SubClassOf Man, False
Daughter SubClassOf Mother, \nTrue
Daughter SubClassOf Father and Female and Mother and Son and Thing, \nHere
Daughter SubClassOf GrandParent, \nFalse
Daughter SubClassOf Sex, \nFalse
Daughter SubClassOf Sister, \nTrue
Daughter SubClassOf Father and Female and Sister and Son and Thing, \nHere
Daughter SubClassOf OffSpring, \nTrue
Daughter SubClassOf Father and Female and OffSpring and Son and Thing, \nHere
Daughter SubClassOf Woman, True
Daughter SubClassOf Father and Female and Son and Woman and Thing, \nHere
Daughter SubClassOf Male, False
Daughter SubClassOf Sibling, \nFalse
Daughter SubClassOf GrandFather, \nFalse
Male and Mother SubClassOf Sister, \nFalse
hasSex some OffSpring SubClassOf GrandMother, False
Man and Woman SubClassOf Sister, False
Male SubClassOf hasSibling some Mother, \nFalse
hasParent some Sister SubClassOf Sex, False
Son SubClassOf hasParent some Brother, \nTrue
Son SubClassOf Man and Thing, \nTrue
Son SubClassOf Child and Man and Thing, \nTrue
Son SubClassOf Brother and Child and Man and Thing, \nTrue
Son SubClassOf Brother and Child and Man and Mother and Thing, \nTrue
Son SubClassOf Brother and Child and Man and Mother and Sibling and Thing, \nHere
Son SubClassOf Brother and Child and Daughter and Man and Mother and Sibling and Thing, \nTrue
GrandFather and OffSpring SubClassOf Son, \nTrue
GrandFather and OffSpring SubClassOf GrandMother, \nFalse
GrandFather SubClassOf Son, \nFalse
Sibling and Son SubClassOf Woman, \nTrue
Sibling and Son SubClassOf GrandMother, \nFalse
Sibling and Son SubClassOf Person, \nTrue
Sibling SubClassOf Person, \nTrue
Sibling SubClassOf GrandMother, \nFalse
Sibling SubClassOf Thing, \nTrue
Sibling SubClassOf Person and Thing, \nTrue
Sibling SubClassOf Son, \nFalse
Sibling SubClassOf Female, \nFalse
Sibling SubClassOf Father, \nFalse
Sibling SubClassOf Child, \nFalse
Sibling SubClassOf Brother, \nTrue
Sibling SubClassOf Brother and Person and Thing, \nFalse
Sibling SubClassOf Parent, \nTrue
Sibling SubClassOf Parent and Person and Thing, \nTrue
Sibling SubClassOf Daughter, \nTrue
Sibling SubClassOf Daughter and Parent and Person and Thing, \nTrue
Sibling SubClassOf Man, False
Sibling SubClassOf Mother, \nTrue
Sibling SubClassOf Daughter and Mother and Parent and Person and Thing, \nHere
Sibling SubClassOf GrandParent, \nFalse
Sibling SubClassOf Sex, \nFalse
Sibling SubClassOf Sister, \nTrue
Sibling SubClassOf Daughter and Parent and Person and Sister and Thing, \nHere
Sibling SubClassOf OffSpring, \nFalse
Sibling SubClassOf Woman, False
Sibling SubClassOf Male, \nFalse
Sibling SubClassOf GrandFather, \nFalse
Sibling SubClassOf Brother and Daughter and Parent and Person and Thing, \nHere
hasSibling some Female SubClassOf Sex, False
Father and Mother SubClassOf Son, \nFalse
GrandFather and Woman SubClassOf Brother, False
Child and Person SubClassOf Male, False
Father and Mother SubClassOf OffSpring, \nFalse
Man SubClassOf Son, False
hasSex some Woman SubClassOf Male, False
hasChild some Child SubClassOf Child, True
hasChild some Child SubClassOf GrandMother, False
hasChild some Child SubClassOf Son, False
hasChild some Child SubClassOf Female, False
hasChild some Child SubClassOf Father, True
Child SubClassOf Father, False
Thing SubClassOf Thing and (hasChild some (Child and Thing)), \nTrue
Child and Thing SubClassOf GrandMother, \nFalse
Child and Thing SubClassOf Son, \nTrue
Thing SubClassOf Son, \nTrue
GrandFather and Sibling SubClassOf Sex, \nFalse
Child and Parent SubClassOf Woman, False
Mother and Person SubClassOf Sex, \nFalse
Female and Person SubClassOf Woman, False
GrandParent and Person SubClassOf GrandFather, \nTrue
GrandParent and Person SubClassOf Sex, \nFalse
GrandParent and Person SubClassOf Sister, False
GrandParent SubClassOf Woman, \nFalse
Person SubClassOf Woman, \nFalse
hasSibling some Son SubClassOf GrandMother, \nFalse
Child SubClassOf hasSex some Sister, \nTrue
Child SubClassOf GrandMother, \nFalse
Child SubClassOf GrandParent, \nFalse
Child SubClassOf Sex, False
Child SubClassOf Sister, False
Child SubClassOf Woman, False
Child SubClassOf Male, False
Child SubClassOf GrandFather, \nFalse
GrandMother SubClassOf hasSex some Sister, \nTrue
Thing and (hasSex some Sister) SubClassOf Thing and (hasSex some Sister), \nTrue
Thing SubClassOf Sister, \nTrue
Thing SubClassOf GrandMother, False
Thing SubClassOf Sister and Son, \nFalse
Thing SubClassOf Female, False
Thing SubClassOf Father, \nTrue
Thing SubClassOf Father and Sister, \nTrue
Thing SubClassOf Child, \nTrue
Thing SubClassOf Child and Father and Sister, \nTrue
Thing SubClassOf Person, \nTrue
Thing SubClassOf Child and Father and Person and Sister, \nTrue
Thing SubClassOf Brother, \nFalse
Thing SubClassOf Parent, \nTrue
Thing SubClassOf Child and Father and Parent and Person and Sister, \nHere
Thing SubClassOf Daughter, False
Thing SubClassOf Man, False
Thing SubClassOf Mother, \nTrue
Thing SubClassOf Child and Father and Mother and Person and Sister, \nHere
Thing SubClassOf GrandParent, \nTrue
Thing SubClassOf Child and Father and GrandParent and Person and Sister, \nHere
Thing SubClassOf Sex, \nFalse
Thing SubClassOf OffSpring, \nFalse
Thing SubClassOf Woman, \nFalse
Thing SubClassOf Male, False
Thing SubClassOf Sibling, False
Thing SubClassOf GrandFather, \nFalse
Thing SubClassOf Child and Father and Parent and Person and Sister and Son, \nHere
Thing SubClassOf Child and Father and Mother and Person and Sister and Son, \nHere
Thing SubClassOf Child and Father and GrandParent and Person and Sister and Son, \nHere
Daughter and GrandMother SubClassOf GrandParent, \nTrue
Man and Sex SubClassOf GrandParent, False
Parent SubClassOf hasChild some Sister, False
Sex SubClassOf hasSibling some Man,   I
Brother and GrandParent SubClassOf GrandFather, \nFalse
Daughter SubClassOf hasParent some GrandFather, \nTrue
Daughter SubClassOf Woman and Thing, \nTrue
Daughter SubClassOf Son and Woman and Thing, \nTrue
Daughter SubClassOf Female and Son and Woman and Thing, \nTrue
Daughter SubClassOf Child and Female and Son and Woman and Thing, \nHere
Daughter SubClassOf Female and Parent and Son and Woman and Thing, \nHere
Daughter SubClassOf Female and Mother and Son and Woman and Thing, \nHere
Daughter SubClassOf Female and Sister and Son and Woman and Thing, \nHere
Daughter SubClassOf Female and OffSpring and Son and Woman and Thing, \nHere
Daughter SubClassOf Child and Father and Female and Son and Woman and Thing, \nHere
Daughter SubClassOf Father and Female and Parent and Son and Woman and Thing, \nHere
Daughter SubClassOf Father and Female and Mother and Son and Woman and Thing, \nHere
Daughter SubClassOf Father and Female and Sister and Son and Woman and Thing, \nHere
Daughter SubClassOf Father and Female and OffSpring and Son and Woman and Thing, \nHere
Child and Person SubClassOf GrandMother, False
GrandFather SubClassOf hasSibling some Woman, \nTrue
GrandFather SubClassOf GrandMother, \nFalse
GrandFather SubClassOf GrandParent, False
GrandFather SubClassOf Sex, \nFalse
GrandFather SubClassOf Male, False
GrandMother SubClassOf hasSibling some Woman, \nTrue
Thing and (hasSibling some Woman) SubClassOf Thing and (hasSibling some Woman), \nTrue
GrandMother SubClassOf Person and Thing and (hasSibling some Woman), \nTrue
GrandMother SubClassOf Parent and Person and Thing and (hasSibling some Woman), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Thing and (hasSibling some Woman), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasSibling some Woman), \nTrue
GrandMother SubClassOf GrandMother, \nFalse
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasSibling some (Person and Woman)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasSibling some (Parent and Person and Woman)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)), \nTrue
Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)) SubClassOf Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)), \nTrue
Female and Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)) SubClassOf Female and Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)), \nTrue
Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)) SubClassOf Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)), \nHere
Person SubClassOf GrandMother, False
Person SubClassOf Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasSibling some (Mother and Parent and Person and Woman)), \nTrue
Person SubClassOf Thing, \nFalse
Person SubClassOf Female, \nFalse
Person SubClassOf Father, False
Person SubClassOf Child, False
Person SubClassOf Person, \nTrue
Person SubClassOf Brother, False
Person SubClassOf Parent, True
Person SubClassOf Daughter, False
Person SubClassOf Man, False
Person SubClassOf Mother, False
Person SubClassOf GrandParent, False
Person SubClassOf Sex, False
Person SubClassOf Sister, False
Person SubClassOf OffSpring, \nFalse
Person SubClassOf Male, False
Person SubClassOf Sibling, False
Person SubClassOf GrandFather, \nFalse
Daughter and GrandFather SubClassOf Male, \nFalse
GrandParent and Sister SubClassOf GrandMother, \nFalse
OffSpring SubClassOf GrandFather, False
Daughter and Man SubClassOf GrandMother, False
Daughter SubClassOf hasSex some Child, \nTrue
GrandMother SubClassOf hasSex some Child, \nTrue
Thing and (hasSex some Child) SubClassOf Thing and (hasSex some Child), \nTrue
GrandMother SubClassOf Person and Thing and (hasSex some Child), \nFalse
GrandMother SubClassOf Parent and Thing and (hasSex some Child), \nTrue
GrandMother SubClassOf Mother and Parent and Thing and (hasSex some Child), \nTrue
GrandMother SubClassOf Mother and Parent and Woman and Thing and (hasSex some Child), \nTrue
GrandMother SubClassOf Mother and Parent and Woman and Thing and (hasSex some (Child and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Woman and Thing and (hasSex some (Child and Parent and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Woman and Thing and (hasSex some (Child and Mother and Parent and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nTrue
Mother and Parent and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)) SubClassOf Mother and Parent and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nTrue
Female and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)) SubClassOf Female and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nTrue
Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)) SubClassOf Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nTrue
Mother SubClassOf hasChild some Son, True
Mother SubClassOf GrandMother, \nFalse
Mother SubClassOf GrandParent, False
Mother SubClassOf Sex, False
Mother SubClassOf Male, \nFalse
Mother SubClassOf GrandFather, False
GrandMother SubClassOf hasChild some Son, \nTrue
Thing and (hasChild some Son) SubClassOf Thing and (hasChild some Son), \nTrue
GrandMother SubClassOf Person and Thing and (hasChild some Son), \nTrue
GrandMother SubClassOf Parent and Person and Thing and (hasChild some Son), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Thing and (hasChild some Son), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasChild some Son), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasChild some (Person and Son)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasChild some (Parent and Person and Son)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasChild some (Mother and Parent and Person and Son)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)), \nTrue
Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)) SubClassOf Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)), \nTrue
Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)) SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)) and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Person SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)), \nTrue
Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)) SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)), \nHere
Brother and Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)) SubClassOf Brother and Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasChild some (Mother and Parent and Person and Son and Woman)), \nHere
GrandParent and Sister SubClassOf Male, False
Child and Woman SubClassOf Sex, False
Brother SubClassOf hasSex some Mother, \nTrue
Brother SubClassOf GrandMother, \nFalse
Brother SubClassOf GrandParent, \nFalse
Brother SubClassOf Sex, \nFalse
Brother SubClassOf Male, \nTrue
Brother SubClassOf Thing, \nTrue
Brother SubClassOf Male and Thing, \nTrue
Brother SubClassOf Son, \nFalse
Brother SubClassOf Female, False
Brother SubClassOf Father, \nFalse
Brother SubClassOf Child, False
Brother SubClassOf Person, \nTrue
Brother SubClassOf Male and Person and Thing, True
Brother SubClassOf Parent, False
Brother SubClassOf Daughter, \nFalse
Brother SubClassOf Man, \nTrue
Brother SubClassOf Male and Man and Person and Thing, \nTrue
Brother SubClassOf Mother, \nFalse
Brother SubClassOf Sister, \nTrue
Brother SubClassOf Male and Man and Person and Sister and Thing, \nTrue
Brother SubClassOf OffSpring, \nFalse
Brother SubClassOf Woman, False
Brother SubClassOf Sibling, \nTrue
Brother SubClassOf Male and Man and Person and Sibling and Sister and Thing, \nTrue
Brother SubClassOf GrandFather, \nFalse
Female and Parent SubClassOf GrandParent, \nTrue
Female and Parent SubClassOf GrandMother, False
Female SubClassOf GrandParent, False
Parent SubClassOf GrandParent and Thing, \nTrue
Parent SubClassOf GrandParent and Son and Thing, \nTrue
Parent SubClassOf Father and GrandParent and Son and Thing, \nTrue
Parent SubClassOf Father and GrandParent and Person and Son and Thing, \nTrue
Parent SubClassOf Father and GrandParent and Mother and Person and Son and Thing, \nTrue
Parent SubClassOf Father and GrandParent and Mother and OffSpring and Person and Son and Thing, \nHere
Brother SubClassOf hasParent some GrandParent, \nTrue
GrandMother SubClassOf hasParent some GrandParent, \nTrue
Thing and (hasParent some GrandParent) SubClassOf Thing and (hasParent some GrandParent), \nTrue
GrandMother SubClassOf Person and Thing and (hasParent some GrandParent), \nTrue
GrandMother SubClassOf Parent and Person and Thing and (hasParent some GrandParent), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Thing and (hasParent some GrandParent), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasParent some GrandParent), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasParent some (GrandParent and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasParent some (GrandParent and Parent and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person)), \nTrue
GrandMother SubClassOf Mother and Parent and Person and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)), \nTrue
Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)) SubClassOf Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)), \nTrue
Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)) SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)) and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Person SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)), \nTrue
Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)) SubClassOf Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)), \nHere
Brother and Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)) SubClassOf Brother and Child and Father and Female and Mother and Parent and Person and Son and Woman and Thing and (hasParent some (GrandParent and Mother and Parent and Person and Woman)), \nHere
Woman SubClassOf hasSibling some GrandFather, \nFalse
Male and Sibling SubClassOf GrandFather, \nTrue
Male and Sibling SubClassOf GrandMother, \nFalse
Male and Sibling SubClassOf Sex, \nTrue
Male SubClassOf Sex, \nFalse
Sister SubClassOf hasSex some Daughter, \nTrue
Sister SubClassOf GrandMother, \nTrue
Sister SubClassOf Thing, False
Sister SubClassOf Son, \nFalse
Sister SubClassOf Female, False
Sister SubClassOf Father, False
Sister SubClassOf Child, \nFalse
Sister SubClassOf Person, False
Sister SubClassOf Brother, \nFalse
Sister SubClassOf Parent, \nTrue
Sister SubClassOf GrandMother and Parent, \nTrue
Sister SubClassOf Daughter, \nTrue
Sister SubClassOf Daughter and GrandMother and Parent, \nTrue
Sister SubClassOf Man, \nFalse
Sister SubClassOf Mother, \nFalse
Sister SubClassOf GrandParent, \nFalse
Sister SubClassOf Sex, \nFalse
Sister SubClassOf OffSpring, \nFalse
Sister SubClassOf Woman, False
Sister SubClassOf Male, \nFalse
Sister SubClassOf Sibling, \nFalse
Sister SubClassOf GrandFather, False
Man SubClassOf hasSex some GrandFather, \nTrue
Man SubClassOf GrandFather, False
GrandMother SubClassOf hasSex some GrandFather, \nTrue
GrandMother and (hasSex some GrandFather) SubClassOf GrandMother and (hasSex some GrandFather), \nTrue
Female SubClassOf GrandFather, False
Father SubClassOf GrandFather, \nFalse
GrandParent SubClassOf GrandFather, False
Sex SubClassOf GrandFather, False
Woman SubClassOf GrandFather, \nFalse
Male SubClassOf GrandFather, \nFalse
GrandMother SubClassOf GrandMother and Person and (hasSex some GrandFather), \nTrue
GrandMother SubClassOf GrandMother and Parent and Person and (hasSex some GrandFather), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and (hasSex some GrandFather), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and Woman and (hasSex some GrandFather), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and Woman and (hasSex some (GrandFather and Person)), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and Woman and (hasSex some (GrandFather and Parent and Person)), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and Woman and (hasSex some (GrandFather and Mother and Parent and Person)), \nTrue
GrandMother SubClassOf GrandMother and Mother and Parent and Person and Woman and (hasSex some (GrandFather and Mother and Parent and Person and Woman)), \nTrue
GrandMother and Mother and Parent and Person and Woman and Thing and (hasSex some (GrandFather and Mother and Parent and Person and Woman)) SubClassOf GrandMother and Mother and Parent and Person and Woman and Thing and (hasSex some (GrandFather and Mother and Parent and Person and Woman)), \nTrue
GrandMother SubClassOf GrandFather and Mother and Parent and Person and Woman, \nTrue
Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)) SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Person SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Parent SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Mother SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Woman SubClassOf GrandMother, \nFalse
Woman SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nTrue
Woman SubClassOf Thing, False
Woman SubClassOf Son, \nFalse
Woman SubClassOf Female, False
Woman SubClassOf Father, False
Woman SubClassOf Child, False
Woman SubClassOf Person, False
Woman SubClassOf Brother, False
Woman SubClassOf Parent, False
Woman SubClassOf Daughter, \nFalse
Woman SubClassOf Man, \nFalse
Woman SubClassOf Mother, \nFalse
Woman SubClassOf GrandParent, \nFalse
Woman SubClassOf Sex, False
Woman SubClassOf Sister, \nTrue
Sister SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Woman SubClassOf OffSpring, False
Woman SubClassOf Woman, \nTrue
Woman SubClassOf Male, \nFalse
Woman SubClassOf Sibling, False
Woman SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Sister and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Woman SubClassOf Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Sister and Woman)), \nHere
Child and Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)) SubClassOf Child and Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Sister SubClassOf Child and Father and Female and GrandFather and GrandMother and Mother and Parent and Person and Son and Woman and Thing and (hasSex some (Child and Mother and Parent and Person and Woman)), \nHere
Can Parent that is also Person be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandFather be considered a subcategory of 'OffSpring'?, \nFalse
