Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal that is also Leg be considered a subcategory of 'Cat'?, \nFalse
Can something that lays some Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Bird be considered a subcategory of 'Backbone'?, \nFalse
Can something that lives_in some Plant be considered a subcategory of 'Cat'?, \nFalse
Can something that eats some Wing be considered a subcategory of 'Plant'?, \nFalse
Can Plant that is also Reptile be considered a subcategory of 'Elephant'?, \nFalse
Can Backbone that is also Bird be considered a subcategory of 'Carnivore'?, \nFalse
Can Fish be considered a subcategory of 'something that has_part some Vertebrate'?, \nFalse
Can Vertebrate that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Wing be considered a subcategory of 'something that lays some Herbivore'?, \nTrue
Can Wing be considered a subcategory of 'Egg'?, \nFalse
Can Wing be considered a subcategory of 'Meat'?, \nFalse
Can Wing be considered a subcategory of 'Carnivore'?, \nFalse
Can Wing be considered a subcategory of 'Water'?, \nFalse
Can Wing be considered a subcategory of 'Animal'?, \nFalse
Can Wing be considered a subcategory of 'Reptile'?, \nFalse
Can Wing be considered a subcategory of 'Plant'?, \nFalse
Can Wing be considered a subcategory of 'Vertebrate'?, \nTrue
Can Wing be considered a subcategory of 'Cat'?, \nFalse
Can Wing be considered a subcategory of 'Fish'?, \nFalse
Can Wing be considered a subcategory of 'Mammal'?, \nFalse
Can Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Wing be considered a subcategory of 'Leg'?, \nFalse
Can Wing be considered a subcategory of 'Elephant'?, \nFalse
Can Wing be considered a subcategory of 'Bird'?, \nTrue
Can Wing be considered a subcategory of 'Bird that is also Vertebrate'?, \nTrue
Can Wing be considered a subcategory of 'Backbone'?, \nFalse
Can Bird that is also Plant be considered a subcategory of 'Backbone'?, \nFalse
Can Water be considered a subcategory of 'something that has_part some Animal'?, \nFalse
Can Elephant that is also Wing be considered a subcategory of 'Plant'?, \nFalse
Can Bird that is also Water be considered a subcategory of 'Meat'?, \nFalse
Can Bird that is also Meat be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg be considered a subcategory of 'something that has_part some Vertebrate'?, \nFalse
Can something that lays some Elephant be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg that is also Water be considered a subcategory of 'Animal'?, \nFalse
Can something that lives_in some Plant be considered a subcategory of 'Backbone'?, \nFalse
Can something that eats some Egg be considered a subcategory of 'Vertebrate'?, \nFalse
Can Carnivore be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Backbone that is also Bird be considered a subcategory of 'Herbivore'?, \nFalse
Can Fish that is also Plant be considered a subcategory of 'Carnivore'?, \nFalse
Can Wing be considered a subcategory of 'something that lays some Wing'?, \nTrue
Can Egg be considered a subcategory of 'something that lays some Wing'?, \nTrue
Can something that lays some (Vertebrate that is also Wing) be considered a subcategory of 'something that lays some (Vertebrate that is also Wing)'?, \nTrue
Can Egg be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Meat be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Carnivore be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Water be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Animal be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Reptile be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Plant be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Vertebrate be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Cat be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Fish be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Mammal be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Herbivore be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Leg be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Elephant be considered a subcategory of 'Vertebrate that is also Wing'?, \nFalse
Can Bird be considered a subcategory of 'Vertebrate that is also Wing'?, \nTrue
Can Bird be considered a subcategory of 'Egg'?, \nFalse
Can Bird be considered a subcategory of 'Meat'?, \nFalse
Can Bird be considered a subcategory of 'Carnivore'?, \nFalse
Can Bird be considered a subcategory of 'Water'?, \nFalse
Can Bird be considered a subcategory of 'Animal'?, \nTrue
Can Bird be considered a subcategory of 'Animal that is also Vertebrate that is also Wing'?, \nTrue
Can Bird be considered a subcategory of 'Reptile'?, \nFalse
Can Bird be considered a subcategory of 'Plant'?, \nFalse
Can Bird be considered a subcategory of 'Cat'?, \nFalse
Can Bird be considered a subcategory of 'Fish'?, \nFalse
Can Bird be considered a subcategory of 'Mammal'?, \nFalse
Can Bird be considered a subcategory of 'Herbivore'?, \nFalse
Can Bird be considered a subcategory of 'Leg'?, \nFalse
Can Bird be considered a subcategory of 'Elephant'?, \nFalse
Can Plant that is also Water be considered a subcategory of 'Cat'?, \nFalse
Can Cat be considered a subcategory of 'something that eats some Egg'?, \nFalse
Can Leg that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Herbivore be considered a subcategory of 'Wing'?, \nFalse
Can something that lays some Cat be considered a subcategory of 'Elephant'?, \nFalse
Can something that lays some Animal be considered a subcategory of 'Reptile'?, \nFalse
Can Plant that is also Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Fish that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can something that eats some Fish be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Mammal'?, \nTrue
Can Animal that is also Carnivore be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Cat'?, \nFalse
Can Animal that is also Carnivore be considered a subcategory of 'Fish'?, \nFalse
Can Carnivore be considered a subcategory of 'Mammal'?, \nTrue
Can Carnivore be considered a subcategory of 'Egg'?, \nFalse
Can Carnivore be considered a subcategory of 'Meat'?, \nFalse
Can Carnivore be considered a subcategory of 'Water'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal'?, \nTrue
Can Carnivore be considered a subcategory of 'Animal that is also Mammal'?, \nFalse
Can Carnivore be considered a subcategory of 'Reptile'?, \nFalse
Can Carnivore be considered a subcategory of 'Plant'?, \nFalse
Can Carnivore be considered a subcategory of 'Vertebrate'?, \nFalse
Can Carnivore be considered a subcategory of 'Cat'?, \nTrue
Can Carnivore be considered a subcategory of 'Cat that is also Mammal'?, \nTrue
Can Carnivore be considered a subcategory of 'Fish'?, \nFalse
Can Carnivore be considered a subcategory of 'Herbivore'?, \nFalse
Can Carnivore be considered a subcategory of 'Leg'?, \nFalse
Can Carnivore be considered a subcategory of 'Elephant'?, \nFalse
Can Carnivore be considered a subcategory of 'Bird'?, \nFalse
Can Carnivore be considered a subcategory of 'Backbone'?, \nFalse
Can Carnivore be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore be considered a subcategory of 'Animal that is also Cat that is also Mammal'?, \nTrue
Can Meat that is also Vertebrate be considered a subcategory of 'Animal'?, \nTrue
Can Meat that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Meat that is also Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'Animal'?, \nTrue
Can Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Vertebrate be considered a subcategory of 'Meat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Carnivore'?, \nFalse
Can Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Vertebrate be considered a subcategory of 'Cat'?, \nFalse
Can Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Vertebrate be considered a subcategory of 'Mammal'?, \nFalse
Can Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate be considered a subcategory of 'Leg'?, \nFalse
Can Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Vertebrate be considered a subcategory of 'Bird'?, \nFalse
Can Vertebrate be considered a subcategory of 'Backbone'?, \nFalse
Can Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Egg be considered a subcategory of 'Elephant'?, \nFalse
Can Water that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Wing be considered a subcategory of 'Leg'?, \nFalse
Can Bird that is also Plant be considered a subcategory of 'Fish'?, \nFalse
Can Elephant that is also Plant be considered a subcategory of 'Water'?, \nFalse
Can Elephant that is also Fish be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Mammal'?, \nTrue
Can Animal that is also Cat be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Carnivore'?, \nTrue
Can Cat be considered a subcategory of 'Carnivore'?, \nTrue
Can Cat be considered a subcategory of 'Egg'?, \nFalse
Can Cat be considered a subcategory of 'Meat'?, \nFalse
Can Cat be considered a subcategory of 'Water'?, \nFalse
Can Cat be considered a subcategory of 'Animal'?, \nTrue
Can Cat be considered a subcategory of 'Animal that is also Carnivore'?, \nFalse
Can Cat be considered a subcategory of 'Reptile'?, \nFalse
Can Cat be considered a subcategory of 'Plant'?, \nFalse
Can Cat be considered a subcategory of 'Vertebrate'?, \nTrue
Can Cat be considered a subcategory of 'Carnivore that is also Vertebrate'?, \nTrue
Can Cat be considered a subcategory of 'Fish'?, \nFalse
Can Cat be considered a subcategory of 'Mammal'?, \nTrue
Can Cat be considered a subcategory of 'Carnivore that is also Mammal that is also Vertebrate'?, \nTrue
Can Cat be considered a subcategory of 'Herbivore'?, \nFalse
Can Cat be considered a subcategory of 'Leg'?, \nFalse
Can Cat be considered a subcategory of 'Elephant'?, \nFalse
Can Cat be considered a subcategory of 'Bird'?, \nFalse
Can Cat be considered a subcategory of 'Backbone'?, \nFalse
Can Cat be considered a subcategory of 'Wing'?, \nFalse
Can Cat be considered a subcategory of 'Animal that is also Carnivore that is also Mammal that is also Vertebrate'?, \nTrue
Can Backbone that is also Plant be considered a subcategory of 'Bird'?, \nFalse
Can Egg that is also Fish be considered a subcategory of 'Elephant'?, \nFalse
Can Fish that is also Herbivore be considered a subcategory of 'Leg'?, \nFalse
Can Cat that is also Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can something that has_part some Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Carnivore that is also Leg be considered a subcategory of 'Meat'?, \nTrue
Can Leg be considered a subcategory of 'Meat'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Animal'?, \nTrue
Can Mammal that is also Meat be considered a subcategory of 'Egg'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Carnivore'?, \nFalse
Can Mammal that is also Meat be considered a subcategory of 'Water'?, \nFalse
Can Meat be considered a subcategory of 'Animal'?, \nTrue
Can Meat be considered a subcategory of 'Carnivore'?, \nFalse
Can Meat be considered a subcategory of 'Reptile'?, \nFalse
Can Meat be considered a subcategory of 'Plant'?, \nFalse
Can Meat be considered a subcategory of 'Vertebrate'?, \nFalse
Can Meat be considered a subcategory of 'Cat'?, \nFalse
Can Meat be considered a subcategory of 'Fish'?, \nFalse
Can Meat be considered a subcategory of 'Mammal'?, \nTrue
Can Meat be considered a subcategory of 'Animal that is also Mammal'?, \nTrue
Can Meat be considered a subcategory of 'Herbivore'?, \nFalse
Can Meat be considered a subcategory of 'Leg'?, \nFalse
Can Meat be considered a subcategory of 'Bird'?, \nFalse
Can Meat be considered a subcategory of 'Backbone'?, \nFalse
Can Meat be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Cat be considered a subcategory of 'Bird'?, \nFalse
Can Cat be considered a subcategory of 'something that lives_in some Bird'?, \nFalse
Can Leg that is also Wing be considered a subcategory of 'Reptile'?, \nFalse
Can Backbone that is also Elephant be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Animal'?, \nTrue
Can Backbone that is also Mammal be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Meat'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Carnivore'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Water'?, \nFalse
Can Mammal be considered a subcategory of 'Animal'?, \nTrue
Can Mammal be considered a subcategory of 'Egg'?, \nFalse
Can Mammal be considered a subcategory of 'Meat'?, \nFalse
Can Mammal be considered a subcategory of 'Carnivore'?, \nFalse
Can Mammal be considered a subcategory of 'Water'?, \nFalse
Can Mammal be considered a subcategory of 'Reptile'?, \nFalse
Can Mammal be considered a subcategory of 'Plant'?, \nFalse
Can Mammal be considered a subcategory of 'Vertebrate'?, \nTrue
Can Mammal be considered a subcategory of 'Animal that is also Vertebrate'?, \nTrue
Can Mammal be considered a subcategory of 'Cat'?, \nFalse
Can Mammal be considered a subcategory of 'Fish'?, \nFalse
Can Mammal be considered a subcategory of 'Herbivore'?, \nFalse
Can Mammal be considered a subcategory of 'Leg'?, \nFalse
Can Mammal be considered a subcategory of 'Elephant'?, \nFalse
Can Mammal be considered a subcategory of 'Bird'?, \nFalse
Can Mammal be considered a subcategory of 'Backbone'?, \nFalse
Can Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Animal that is also Fish be considered a subcategory of 'Bird'?, \nFalse
Can Leg be considered a subcategory of 'something that lays some Reptile'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Bird'?, \nTrue
Can something that has_part some Bird be considered a subcategory of 'Egg'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Meat'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Carnivore'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Water'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Animal'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Reptile'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Plant'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Cat'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Fish'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Mammal'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Herbivore'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Leg'?, \nFalse
Can something that has_part some Bird be considered a subcategory of 'Elephant'?, \nFalse
Can Bird be considered a subcategory of 'Bird'?, \nFalse
Can Thing be considered a subcategory of 'something that has_part some (Animal that is also Bird that is also Vertebrate that is also Wing)'?, \nTrue
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Meat'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Carnivore'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Cat'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Fish'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Mammal'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Leg'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Elephant'?, \nFalse
Can Animal that is also Bird that is also Vertebrate that is also Wing be considered a subcategory of 'Backbone'?, \nFalse
Can something that (has_part some Animal) that is also something that (has_part some (Bird that is also Vertebrate that is also Wing)) be considered a subcategory of 'something that has_part some (Animal that is also Bird that is also Vertebrate that is also Wing)'?, \nTrue
Can something that has_part some (Animal that is also Bird that is also Vertebrate that is also Wing) be considered a subcategory of 'something that has_part some (Animal that is also Bird that is also Vertebrate that is also Wing)'?, \nTrue
Can something that has_part some (Bird that is also Vertebrate that is also Wing) be considered a subcategory of 'Bird'?, \nTrue
Can something that has_part some (Vertebrate that is also Wing) be considered a subcategory of 'Bird'?, \nFalse
Can something that has_part some (Bird that is also Wing) be considered a subcategory of 'Bird'?, \nFalse
Can something that has_part some (Bird that is also Vertebrate) be considered a subcategory of 'Bird'?, \nTrue
Can Cat that is also Meat be considered a subcategory of 'Water'?, \nFalse
Can Elephant be considered a subcategory of 'Plant'?, \nFalse
Can Mammal that is also Plant be considered a subcategory of 'Bird'?, \nFalse
Can Bird that is also Mammal be considered a subcategory of 'Fish'?, \nFalse
Can Meat that is also Plant be considered a subcategory of 'Elephant'?, \nFalse
Can Egg be considered a subcategory of 'Water'?, \nFalse
Can Vertebrate be considered a subcategory of 'something that lays some Leg'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Reptile'?, \nTrue
Can something that lives_in some Egg be considered a subcategory of 'Egg'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Water'?, \nFalse
Can something that lives_in some Egg be considered a subcategory of 'Animal'?, \nTrue
Can Egg be considered a subcategory of 'Animal'?, \nFalse
Can Thing be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can Egg be considered a subcategory of 'Meat'?, \nFalse
Can Egg be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg be considered a subcategory of 'Reptile'?, \nFalse
Can Egg be considered a subcategory of 'Plant'?, \nFalse
Can Egg be considered a subcategory of 'Vertebrate'?, \nFalse
Can Egg be considered a subcategory of 'Cat'?, \nFalse
Can Egg be considered a subcategory of 'Fish'?, \nFalse
Can Egg be considered a subcategory of 'Mammal'?, \nFalse
Can Egg be considered a subcategory of 'Herbivore'?, \nFalse
Can Egg be considered a subcategory of 'Leg'?, \nFalse
Can Egg be considered a subcategory of 'Elephant'?, \nFalse
Can Egg be considered a subcategory of 'Bird'?, \nFalse
Can Egg be considered a subcategory of 'Backbone'?, \nFalse
Can Egg be considered a subcategory of 'Wing'?, \nFalse
