Parent and Person SubClassOf Father, \nTrue
GrandMother and GrandParent SubClassOf OffSpring, \nFalse
Son SubClassOf hasSex some Parent, \nTrue
Son SubClassOf GrandMother, \nFalse
Son SubClassOf Female, True
Son SubClassOf Thing, True
Son SubClassOf Female and Thing, \nFalse
Son SubClassOf Father, True
Son SubClassOf Father and Female, \nTrue
Son SubClassOf Child, True
Son SubClassOf Child and Father and Female, True
Son SubClassOf Person, \nTrue
Son SubClassOf Child and Father and Female and Person, True
Son SubClassOf Brother, True
Son SubClassOf Brother and Child and Father and Female and Person, True
Son SubClassOf Parent, True
Son SubClassOf Brother and Child and Father and Female and Parent and Person, \nTrue
Son SubClassOf Daughter, True
Son SubClassOf Brother and Child and Daughter and Father and Female and Parent and Person, True
Son SubClassOf Man, True
Son SubClassOf Brother and Child and Daughter and Father and Female and Man and Parent and Person, True
Son SubClassOf Mother, True
Son SubClassOf Brother and Child and Daughter and Father and Female and Man and Mother and Parent and Person, True
Son SubClassOf GrandParent, \nTrue
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and Parent and Person, \nTrue
Son SubClassOf Sex, \nTrue
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and Parent and Person and Sex, True
Son SubClassOf Sister, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and Parent and Person and Sex and Sister, \nTrue
Son SubClassOf OffSpring, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister, \nTrue
Son SubClassOf Woman, False
Son SubClassOf Male, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister, \nTrue
Son SubClassOf Sibling, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister, \nTrue
Son SubClassOf GrandFather, \nFalse
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nTrue
Parent SubClassOf hasChild some Male, True
Parent SubClassOf GrandMother, True
Parent SubClassOf Thing, \nTrue
Parent SubClassOf GrandMother and Thing, \nTrue
Parent SubClassOf Son, True
Parent SubClassOf GrandMother and Son and Thing, \nTrue
Parent SubClassOf Female, True
Parent SubClassOf Female and GrandMother and Son and Thing, True
Parent SubClassOf Father, True
Parent SubClassOf Father and Female and GrandMother and Son and Thing, \nFalse
Parent SubClassOf Child, True
Parent SubClassOf Child and Female and GrandMother and Son and Thing, \nFalse
Parent SubClassOf Person, True
Parent SubClassOf Female and GrandMother and Person and Son and Thing, \nTrue
Parent SubClassOf Brother, \nTrue
Parent SubClassOf Brother and Female and GrandMother and Person and Son and Thing, \nFalse
Parent SubClassOf Daughter, True
Parent SubClassOf Daughter and Female and GrandMother and Person and Son and Thing, True
Parent SubClassOf Man, True
Parent SubClassOf Daughter and Female and GrandMother and Man and Person and Son and Thing, True
Parent SubClassOf Mother, True
Parent SubClassOf Daughter and Female and GrandMother and Man and Mother and Person and Son and Thing, \nTrue
Parent SubClassOf GrandParent, True
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Man and Mother and Person and Son and Thing, \nTrue
Parent SubClassOf Sex, True
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Man and Mother and Person and Sex and Son and Thing, \nTrue
Parent SubClassOf Sister, \nTrue
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Man and Mother and Person and Sex and Sister and Son and Thing, \nFalse
Parent SubClassOf OffSpring, True
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Person and Sex and Son and Thing, \nHere
Parent SubClassOf Woman, True
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Man and Mother and Person and Sex and Son and Woman and Thing, \nTrue
Parent SubClassOf Male, \nTrue
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Son and Woman and Thing, \nTrue
Parent SubClassOf Sibling, \nTrue
Parent SubClassOf Daughter and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Parent SubClassOf GrandFather, \nTrue
Parent SubClassOf Daughter and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Son and Woman and Thing, \nHere
Parent SubClassOf Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Parent SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Son and Woman and Thing, \nHere
Parent SubClassOf Brother and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Parent SubClassOf Brother and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Person and Sex and Sibling and Sister and Son and Woman and Thing, \nTrue
Parent SubClassOf Brother and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Person and Sex and Sibling and Sister and Son and Woman and Thing, \nTrue
Parent SubClassOf Brother and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Person and Sex and Sibling and Sister and Son and Woman and Thing, \nHere
Female and GrandMother SubClassOf Daughter, True
Female and GrandMother SubClassOf Son, False
Female and GrandMother SubClassOf Father, False
Female and GrandMother SubClassOf Person, True
GrandMother SubClassOf Person, \nFalse
Female SubClassOf Person, True
Female SubClassOf GrandMother, True
Female SubClassOf GrandMother and Person, True
Female SubClassOf Thing, True
Female SubClassOf GrandMother and Person and Thing, True
Female SubClassOf Son, False
Female SubClassOf Father, True
Female SubClassOf Father and GrandMother and Person and Thing, False
Female SubClassOf Child, True
Female SubClassOf Child and GrandMother and Person and Thing, \nTrue
Female SubClassOf Brother, False
Female SubClassOf Parent, True
Female SubClassOf Child and GrandMother and Parent and Person and Thing, True
Female SubClassOf Daughter, True
Female SubClassOf Child and Daughter and GrandMother and Parent and Person and Thing, True
Female SubClassOf Man, \nTrue
Female SubClassOf Child and Daughter and GrandMother and Man and Parent and Person and Thing, True
Female SubClassOf Mother, True
Female SubClassOf Child and Daughter and GrandMother and Man and Mother and Parent and Person and Thing, True
Female SubClassOf GrandParent, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Man and Mother and Parent and Person and Thing, True
Female SubClassOf Sex, False
Female SubClassOf Sister, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Man and Mother and Parent and Person and Sister and Thing, \nFalse
Female SubClassOf OffSpring, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing, True
Female SubClassOf Woman, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Woman and Thing, \nFalse
Female SubClassOf Male, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Thing, True
Female SubClassOf Sibling, True
Female SubClassOf Child and Daughter and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Thing, \nTrue
Female SubClassOf GrandFather, False
Female SubClassOf Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Thing, \nTrue
Female SubClassOf Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Thing, \nTrue
Female SubClassOf Child and Daughter and Father and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Woman and Thing, \nFalse
GrandFather SubClassOf Daughter, False
Father and Mother SubClassOf Male, True
Father and Mother SubClassOf GrandMother, \nTrue
Father SubClassOf GrandMother, False
Mother SubClassOf GrandMother, True
Mother SubClassOf Thing, True
Mother SubClassOf GrandMother and Thing, \nTrue
Mother SubClassOf Son, False
Mother SubClassOf Female, False
Mother SubClassOf Father, True
Mother SubClassOf Father and GrandMother and Thing, True
Mother SubClassOf Child, True
Mother SubClassOf Child and Father and GrandMother and Thing, \nFalse
Mother SubClassOf Person, True
Mother SubClassOf Father and GrandMother and Person and Thing, True
Mother SubClassOf Brother, True
Mother SubClassOf Brother and Father and GrandMother and Person and Thing, \nFalse
Mother SubClassOf Parent, \nTrue
Mother SubClassOf Father and GrandMother and Parent and Person and Thing, \nTrue
Mother SubClassOf Daughter, True
Mother SubClassOf Daughter and Father and GrandMother and Parent and Person and Thing, True
Mother SubClassOf Man, \nTrue
Mother SubClassOf Daughter and Father and GrandMother and Man and Parent and Person and Thing, \nFalse
Mother SubClassOf GrandParent, True
Mother SubClassOf Daughter and Father and GrandMother and GrandParent and Parent and Person and Thing, \nFalse
Mother SubClassOf Sex, True
Mother SubClassOf Daughter and Father and GrandMother and Parent and Person and Sex and Thing, \nFalse
Mother SubClassOf Sister, True
Mother SubClassOf Daughter and Father and GrandMother and Parent and Person and Sister and Thing, \nFalse
Mother SubClassOf OffSpring, True
Mother SubClassOf Daughter and Father and GrandMother and OffSpring and Parent and Person and Thing, True
Mother SubClassOf Woman, True
Mother SubClassOf Daughter and Father and GrandMother and OffSpring and Parent and Person and Woman and Thing, True
Mother SubClassOf Male, False
Mother SubClassOf Sibling, True
Mother SubClassOf Daughter and Father and GrandMother and OffSpring and Parent and Person and Sibling and Woman and Thing, True
Mother SubClassOf GrandFather, True
Mother SubClassOf Daughter and Father and GrandFather and GrandMother and OffSpring and Parent and Person and Sibling and Woman and Thing, \nTrue
Mother SubClassOf Child and Daughter and Father and GrandFather and GrandMother and OffSpring and Parent and Person and Sibling and Woman and Thing, \nTrue
Mother SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and OffSpring and Parent and Person and Sibling and Woman and Thing, \nTrue
Mother SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and Man and OffSpring and Parent and Person and Sibling and Woman and Thing, True
Mother SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Sibling and Woman and Thing, \nTrue
Mother SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Sex and Sibling and Woman and Thing, \nHere
Mother SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Sibling and Sister and Woman and Thing, \nTrue
Daughter and OffSpring SubClassOf Father, True
Daughter and OffSpring SubClassOf GrandMother, \nFalse
Daughter and OffSpring SubClassOf Son, \nFalse
Daughter and OffSpring SubClassOf Female, \nTrue
OffSpring SubClassOf Female, \nFalse
Daughter SubClassOf Female, True
Daughter SubClassOf GrandMother, True
Daughter SubClassOf Female and GrandMother, True
Daughter SubClassOf Thing, True
Daughter SubClassOf Female and GrandMother and Thing, \nTrue
Daughter SubClassOf Son, True
Daughter SubClassOf Female and GrandMother and Son and Thing, \nFalse
Daughter SubClassOf Father, True
Daughter SubClassOf Father and Female and GrandMother and Thing, \nTrue
Daughter SubClassOf Child, True
Daughter SubClassOf Child and Father and Female and GrandMother and Thing, \nTrue
Daughter SubClassOf Person, True
Daughter SubClassOf Child and Father and Female and GrandMother and Person and Thing, True
Daughter SubClassOf Brother, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and Person and Thing, \nTrue
Daughter SubClassOf Parent, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and Parent and Person and Thing, \nTrue
Daughter SubClassOf Man, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and Man and Parent and Person and Thing, \nFalse
Daughter SubClassOf Mother, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and Mother and Parent and Person and Thing, True
Daughter SubClassOf GrandParent, \nTrue
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and Parent and Person and Thing, \nTrue
Daughter SubClassOf Sex, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and Parent and Person and Sex and Thing, \nTrue
Daughter SubClassOf Sister, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and Parent and Person and Sex and Sister and Thing, \nTrue
Daughter SubClassOf OffSpring, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sex and Sister and Thing, \nTrue
Daughter SubClassOf Woman, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sex and Sister and Woman and Thing, \nHere
Daughter SubClassOf Male, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Male and Mother and OffSpring and Parent and Person and Sex and Sister and Thing, \nHere
Daughter SubClassOf Sibling, True
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nTrue
Daughter SubClassOf GrandFather, True
Daughter SubClassOf Brother and Child and Father and Female and GrandFather and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nHere
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing, \nHere
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nTrue
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Woman and Thing, \nHere
Daughter SubClassOf Brother and Child and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nHere
Daughter SubClassOf Brother and Child and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Thing, \nHere
hasSex some OffSpring SubClassOf GrandMother, True
OffSpring SubClassOf GrandMother, \nFalse
Child and Thing SubClassOf Child and Thing and (hasSex some (Child and OffSpring and Thing)), \nTrue
Child and OffSpring and Thing SubClassOf GrandMother, True
OffSpring and Thing SubClassOf GrandMother, \nFalse
Child and Thing SubClassOf GrandMother, True
Man and Woman SubClassOf Sister, True
Man and Woman SubClassOf Son, False
Man and Woman SubClassOf Female, \nFalse
Man and Woman SubClassOf Father, True
Woman SubClassOf Father, False
Man SubClassOf Father, True
Man SubClassOf GrandMother, True
Man SubClassOf Father and GrandMother, True
Man SubClassOf Thing, True
Man SubClassOf Father and GrandMother and Thing, True
Man SubClassOf Son, True
Man SubClassOf Father and GrandMother and Son and Thing, \nFalse
Man SubClassOf Female, False
Man SubClassOf Child, True
Man SubClassOf Child and Father and GrandMother and Thing, \nTrue
Man SubClassOf Person, True
Man SubClassOf Child and Father and GrandMother and Person and Thing, True
Man SubClassOf Brother, True
Man SubClassOf Brother and Child and Father and GrandMother and Person and Thing, \nTrue
Man SubClassOf Parent, True
Man SubClassOf Brother and Child and Father and GrandMother and Parent and Person and Thing, True
Man SubClassOf Daughter, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and Parent and Person and Thing, True
Man SubClassOf Mother, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and Mother and Parent and Person and Thing, \nTrue
Man SubClassOf GrandParent, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Mother and Parent and Person and Thing, True
Man SubClassOf Sex, False
Man SubClassOf Sister, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Mother and Parent and Person and Sister and Thing, \nTrue
Man SubClassOf OffSpring, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sister and Thing, True
Man SubClassOf Woman, False
Man SubClassOf Male, False
Man SubClassOf Sibling, True
Man SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sibling and Sister and Thing, True
Man SubClassOf GrandFather, True
Man SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sibling and Sister and Thing, \nTrue
Man SubClassOf Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Thing, True
Male SubClassOf hasSibling some Mother, \nTrue
Male SubClassOf Son, True
Male SubClassOf GrandMother, False
Male SubClassOf Thing, True
Male SubClassOf Son and Thing, \nTrue
Male SubClassOf Female, False
Male SubClassOf Father, True
Male SubClassOf Father and Son and Thing, True
Male SubClassOf Child, True
Male SubClassOf Child and Father and Son and Thing, True
Male SubClassOf Person, True
Male SubClassOf Child and Father and Person and Son and Thing, True
Male SubClassOf Brother, True
Male SubClassOf Brother and Child and Father and Person and Son and Thing, True
Male SubClassOf Parent, True
Male SubClassOf Brother and Child and Father and Parent and Person and Son and Thing, True
Male SubClassOf Daughter, False
Male SubClassOf Man, True
Male SubClassOf Brother and Child and Father and Man and Parent and Person and Son and Thing, True
Male SubClassOf Mother, False
Male SubClassOf GrandParent, \nFalse
Male SubClassOf Sex, True
Male SubClassOf Brother and Child and Father and Man and Parent and Person and Sex and Son and Thing, True
Male SubClassOf Sister, \nFalse
Male SubClassOf OffSpring, True
Male SubClassOf Brother and Child and Father and Man and OffSpring and Parent and Person and Sex and Son and Thing, True
Male SubClassOf Woman, False
Male SubClassOf Sibling, True
Male SubClassOf Brother and Child and Father and Man and OffSpring and Parent and Person and Sex and Sibling and Son and Thing, \nTrue
Male SubClassOf GrandFather, False
hasParent some Sister SubClassOf Sex, True
hasParent some Sister SubClassOf Son, \nTrue
Sister SubClassOf Son, True
Sister SubClassOf GrandMother, False
Sister SubClassOf Thing, True
Sister SubClassOf Son and Thing, \nTrue
Sister SubClassOf Female, False
Sister SubClassOf Father, True
Sister SubClassOf Father and Son and Thing, True
Sister SubClassOf Child, True
Sister SubClassOf Child and Father and Son and Thing, \nFalse
Sister SubClassOf Person, True
Sister SubClassOf Father and Person and Son and Thing, True
Sister SubClassOf Brother, \nTrue
Sister SubClassOf Brother and Father and Person and Son and Thing, True
Sister SubClassOf Parent, True
Sister SubClassOf Brother and Father and Parent and Person and Son and Thing, True
Sister SubClassOf Daughter, True
Sister SubClassOf Brother and Daughter and Father and Parent and Person and Son and Thing, True
Sister SubClassOf Man, True
Sister SubClassOf Brother and Daughter and Father and Man and Parent and Person and Son and Thing, \nTrue
Sister SubClassOf Mother, True
Sister SubClassOf Brother and Daughter and Father and Man and Mother and Parent and Person and Son and Thing, True
Sister SubClassOf GrandParent, \nTrue
Sister SubClassOf Brother and Daughter and Father and GrandParent and Man and Mother and Parent and Person and Son and Thing, \nFalse
Sister SubClassOf Sex, True
Sister SubClassOf Brother and Daughter and Father and Man and Mother and Parent and Person and Sex and Son and Thing, \nTrue
Sister SubClassOf OffSpring, True
Sister SubClassOf Brother and Daughter and Father and Man and Mother and OffSpring and Parent and Person and Sex and Son and Thing, \nTrue
Sister SubClassOf Woman, True
Sister SubClassOf Brother and Daughter and Father and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman and Thing, \nTrue
Sister SubClassOf Male, \nFalse
Sister SubClassOf Sibling, True
Sister SubClassOf Brother and Daughter and Father and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Sister SubClassOf GrandFather, False
Sister SubClassOf Brother and Child and Daughter and Father and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Sister SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Son SubClassOf hasParent some Brother, True
GrandMother SubClassOf hasParent some Brother, \nFalse
Thing SubClassOf hasParent some Brother, True
GrandMother and (hasParent some Brother) SubClassOf GrandMother and (hasParent some Brother), True
GrandMother SubClassOf Brother, False
Thing SubClassOf Brother, \nTrue
Thing SubClassOf GrandMother, False
Thing SubClassOf Son, True
Thing SubClassOf Brother and Son, \nFalse
Thing SubClassOf Female, \nFalse
Thing SubClassOf Father, True
Thing SubClassOf Brother and Father, True
Thing SubClassOf Brother and Child and Father, True
Thing SubClassOf Person, True
Thing SubClassOf Brother and Child and Father and Person, True
Thing SubClassOf Parent, True
Thing SubClassOf Brother and Child and Father and Parent and Person, True
Thing SubClassOf Daughter, \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and Parent and Person, True
Thing SubClassOf Man, True
Thing SubClassOf Brother and Child and Daughter and Father and Man and Parent and Person, \nTrue
Thing SubClassOf Mother, True
Thing SubClassOf Brother and Child and Daughter and Father and Man and Mother and Parent and Person, True
Thing SubClassOf GrandParent, True
Thing SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and Parent and Person, \nTrue
Thing SubClassOf Sex, \nFalse
Thing SubClassOf Sister, \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and Parent and Person and Sister, True
Thing SubClassOf OffSpring, True
Thing SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sister, True
Thing SubClassOf Woman, False
Thing SubClassOf Male, False
Thing SubClassOf Sibling, \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister, True
Thing SubClassOf GrandFather, \nFalse
Thing SubClassOf Brother and Child and Daughter and Father and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son, \nTrue
Child SubClassOf hasSex some Sister, \nTrue
GrandMother SubClassOf hasSex some Sister, \nFalse
Thing SubClassOf hasSex some Sister, \nTrue
GrandMother and (hasSex some Sister) SubClassOf GrandMother and (hasSex some Sister), False
Thing SubClassOf Thing, True
Father SubClassOf Thing, True
Child SubClassOf Thing, True
Brother SubClassOf Thing, False
Brother SubClassOf GrandMother and (hasSex some Sister), False
GrandParent SubClassOf Thing, True
OffSpring SubClassOf Thing, \nTrue
Sibling SubClassOf Thing, True
Thing SubClassOf GrandMother and Son and (hasSex some Sister), \nFalse
Thing SubClassOf Father and GrandMother and (hasSex some Sister), True
Thing SubClassOf Child and Father and GrandMother and (hasSex some Sister), True
Thing SubClassOf Child and Father and GrandMother and Person and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Father and GrandMother and Person and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Father and GrandMother and Parent and Person and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and Parent and Person and (hasSex some Sister), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and Man and Parent and Person and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and Man and Mother and Parent and Person and (hasSex some Sister), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and Parent and Person and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and Parent and Person and Sister and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sister and (hasSex some Sister), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some Sister), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Sister and Thing)), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Sister and Son and Thing)), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Father and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Child and Father and Sister and Son and Thing)), True
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Child and Father and Person and Sister and Son and Thing)), \nTrue
Thing SubClassOf Brother and Child and Daughter and Father and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and (hasSex some (Brother and Child and Father and Person and Sister and Son and Thing)), True
