Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Meat'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Carnivore'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Water'?, False
Can something that lives_in some Leg be considered a subcategory of 'Reptile'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Plant'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Vertebrate'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Cat'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Fish'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Mammal'?, False.
Can something that lives_in some Leg be considered a subcategory of 'Herbivore'?, False.
Can Leg be considered a subcategory of 'Leg'?, False.
Can Animal that is also Thing be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing))'?, False.
Can Animal that is also Thing be considered a subcategory of 'Egg'?, False.
Can Animal that is also Thing be considered a subcategory of 'Meat'?, False.
Can Animal that is also Thing be considered a subcategory of 'Carnivore'?, False.
Can Animal that is also Thing be considered a subcategory of 'Water'?, False.
Can Animal that is also Thing be considered a subcategory of 'Reptile'?, False
Can Animal that is also Thing be considered a subcategory of 'Plant'?, False.
Can Animal that is also Thing be considered a subcategory of 'Vertebrate'?, False.
Can Animal that is also Thing be considered a subcategory of 'Cat'?, False.
Can Animal that is also Thing be considered a subcategory of 'Fish'?, False.
Can Animal that is also Thing be considered a subcategory of 'Mammal'?, False.
Can Animal that is also Thing be considered a subcategory of 'Herbivore'?, False.
Can Animal that is also Thing be considered a subcategory of 'Leg'?, False.
Can Animal that is also Thing be considered a subcategory of 'Elephant'?, False
Can Animal that is also Thing be considered a subcategory of 'Bird'?, False.
Can Animal that is also Thing be considered a subcategory of 'Backbone'?, False.
Can Animal that is also Thing be considered a subcategory of 'Wing'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Egg'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Meat'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Carnivore'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Water'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Reptile'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Plant'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Vertebrate'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Cat'?, False
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Fish'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Mammal'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Herbivore'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Elephant'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Bird'?, False.
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Backbone'?, False
Can Animal that is also Leg that is also Thing be considered a subcategory of 'Wing'?, False.
Can Animal that is also Thing that is also something that (lives_in some Animal) that is also something that (lives_in some (Leg that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing))'?, False.
Can Animal that is also Thing that is also something that (lives_in some Animal) that is also something that (lives_in some (Leg that is also Thing)) be considered a subcategory of 'Leg'?, False.
Can Animal that is also Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing))'?, False.
Can Animal that is also Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing)) be considered a subcategory of 'Leg'?, False.
Can Thing that is also something that (lives_in some (Animal that is also Leg that is also Thing)) be considered a subcategory of 'Leg'?, False.
Can Animal that is also Thing that is also something that (lives_in some (Leg that is also Thing)) be considered a subcategory of 'Leg'?, False.
Can Animal that is also Thing that is also something that (lives_in some (Animal that is also Thing)) be considered a subcategory of 'Leg'?, False.
Can Mammal that is also Vertebrate be considered a subcategory of 'Egg'?, False.
Can Bird that is also Vertebrate be considered a subcategory of 'Wing'?, False.
Can Bird that is also Carnivore be considered a subcategory of 'Backbone'?, False
Can something that lays some Wing be considered a subcategory of 'Herbivore'?, True.
Can something that lays some Wing be considered a subcategory of 'Egg'?, False.
Can something that lays some Wing be considered a subcategory of 'Meat'?, False.
Can something that lays some Wing be considered a subcategory of 'Carnivore'?, False
Can something that lays some Wing be considered a subcategory of 'Water'?, False.
Can something that lays some Wing be considered a subcategory of 'Reptile'?, False.
Can something that lays some Wing be considered a subcategory of 'Plant'?, False.
Can something that lays some Wing be considered a subcategory of 'Vertebrate'?, False.
Can something that lays some Wing be considered a subcategory of 'Cat'?, False.
Can something that lays some Wing be considered a subcategory of 'Fish'?, True.
Can Wing be considered a subcategory of 'Fish'?, False.
Can Animal that is also Thing be considered a subcategory of 'Animal that is also Thing that is also something that (lays some (Animal that is also Wing that is also Thing))'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Egg'?, False
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Meat'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Carnivore'?, False
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Water'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Reptile'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Plant'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Vertebrate'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Cat'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Fish'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Mammal'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Herbivore'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Leg'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Elephant'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Bird'?, False.
Can Animal that is also Wing that is also Thing be considered a subcategory of 'Backbone'?, False.
Can Animal that is also Thing that is also something that (lays some Animal) that is also something that (lays some (Wing that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lays some (Animal that is also Wing that is also Thing))'?, False.
Can Animal that is also Thing that is also something that (lays some Animal) that is also something that (lays some (Wing that is also Thing)) be considered a subcategory of 'Fish'?, False.
Can Animal that is also Thing that is also something that (lays some (Animal that is also Wing that is also Thing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lays some (Animal that is also Wing that is also Thing))'?, True.
Can Thing that is also something that (lays some (Animal that is also Wing that is also Thing)) be considered a subcategory of 'Fish'?, False.
Can Animal that is also Thing that is also something that (lays some (Wing that is also Thing)) be considered a subcategory of 'Fish'?, False.
Can Animal that is also Thing that is also something that (lays some (Animal that is also Thing)) be considered a subcategory of 'Fish'?, False.
Can Cat that is also Wing be considered a subcategory of 'Elephant'?, False.
Can something that lays some Vertebrate be considered a subcategory of 'Reptile'?, False.
Can Cat that is also Elephant be considered a subcategory of 'Leg'?, False.
Can something that lives_in some Fish be considered a subcategory of 'Backbone'?, False.
Can something that has_part some Animal be considered a subcategory of 'Carnivore'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Wing'?, True.
Can Backbone that is also Bird be considered a subcategory of 'Egg'?, False
Can Backbone that is also Bird be considered a subcategory of 'Meat'?, False
Can Backbone that is also Bird be considered a subcategory of 'Carnivore'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Water'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Reptile'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Plant'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Vertebrate'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Cat'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Fish'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Mammal'?, False.
Can Backbone that is also Bird be considered a subcategory of 'Herbivore'?, False
Can Backbone that is also Bird be considered a subcategory of 'Leg'?, False
Can Backbone that is also Bird be considered a subcategory of 'Elephant'?, False.
Can Bird be considered a subcategory of 'Wing'?, False.
Can Backbone be considered a subcategory of 'Wing'?, False.
Can Fish that is also Plant be considered a subcategory of 'Water'?, False
Can Egg that is also Mammal be considered a subcategory of 'Cat'?, False.
Can Fish that is also Wing be considered a subcategory of 'Egg'?, False.
Can something that has_part some Backbone be considered a subcategory of 'Reptile'?, False.
Can Herbivore that is also Plant be considered a subcategory of 'Backbone'?, False.
Can Egg that is also Elephant be considered a subcategory of 'Vertebrate'?, False.
Can Fish that is also Reptile be considered a subcategory of 'Plant'?, False.
Can Bird that is also Meat be considered a subcategory of 'Herbivore'?, False.
Can Animal that is also Plant be considered a subcategory of 'Carnivore'?, False.
Can something that lays some Water be considered a subcategory of 'Plant'?, False
Can something that has_part some Plant be considered a subcategory of 'Backbone'?, False.
Can Backbone that is also Leg be considered a subcategory of 'Wing'?, False.
Can Fish that is also Vertebrate be considered a subcategory of 'Water'?, False.
Can Animal that is also Mammal be considered a subcategory of 'Backbone'?, False
Can something that lays some Fish be considered a subcategory of 'Fish'?, False.
Can Animal that is also Elephant be considered a subcategory of 'Carnivore'?, False
Can Leg that is also Water be considered a subcategory of 'Wing'?, False.
Can Animal that is also Fish be considered a subcategory of 'Water'?, False.
Can Animal that is also Leg be considered a subcategory of 'Cat'?, False.
Can Bird be considered a subcategory of 'Backbone'?, False.
Can something that lives_in some Plant be considered a subcategory of 'Cat'?, False.
Can something that eats some Wing be considered a subcategory of 'Plant'?, False.
Can Plant that is also Reptile be considered a subcategory of 'Elephant'?, False.
Can Fish be considered a subcategory of 'something that has_part some Vertebrate'?, False.
Can Vertebrate that is also Wing be considered a subcategory of 'Egg'?, False.
Can Wing be considered a subcategory of 'something that lays some Herbivore'?, True
Can Wing be considered a subcategory of 'Egg'?, False.
Can Wing be considered a subcategory of 'Meat'?, False.
Can Wing be considered a subcategory of 'Carnivore'?, False
Can Wing be considered a subcategory of 'Water'?, False
Can Wing be considered a subcategory of 'Reptile'?, False.
Can Wing be considered a subcategory of 'Plant'?, False
Can Wing be considered a subcategory of 'Vertebrate'?, False.
Can Wing be considered a subcategory of 'Cat'?, False
Can Wing be considered a subcategory of 'Mammal'?, False.
Can Wing be considered a subcategory of 'Herbivore'?, False
Can Wing be considered a subcategory of 'Leg'?, False.
Can Wing be considered a subcategory of 'Elephant'?, False.
Can Wing be considered a subcategory of 'Bird'?, False.
Can Wing be considered a subcategory of 'Backbone'?, False.
Can Egg be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Meat be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Carnivore be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Water be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Animal be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Reptile be considered a subcategory of 'something that lays some Herbivore'?, False
Can Plant be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Vertebrate be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Cat be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Fish be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Mammal be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Herbivore be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Leg be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Elephant be considered a subcategory of 'something that lays some Herbivore'?, False
Can Bird be considered a subcategory of 'something that lays some Herbivore'?, False
Can Backbone be considered a subcategory of 'something that lays some Herbivore'?, False.
Can Thing that is also something that (lays some Herbivore) be considered a subcategory of 'Thing that is also something that (lays some Herbivore)'?, False.
Can Wing be considered a subcategory of 'Animal'?, False.
Can Wing be considered a subcategory of 'Wing'?, True
Can Egg be considered a subcategory of 'Herbivore'?, False.
Can Meat be considered a subcategory of 'Herbivore'?, False.
Can Carnivore be considered a subcategory of 'Herbivore'?, False.
Can Water be considered a subcategory of 'Herbivore'?, False.
Can Animal be considered a subcategory of 'Herbivore'?, False.
Can Reptile be considered a subcategory of 'Herbivore'?, False.
Can Plant be considered a subcategory of 'Herbivore'?, False.
Can Vertebrate be considered a subcategory of 'Herbivore'?, False
Can Cat be considered a subcategory of 'Herbivore'?, False.
Can Fish be considered a subcategory of 'Herbivore'?, False.
Can Mammal be considered a subcategory of 'Herbivore'?, False.
Can Leg be considered a subcategory of 'Herbivore'?, False.
Can Elephant be considered a subcategory of 'Herbivore'?, False
Can Bird be considered a subcategory of 'Herbivore'?, False.
Can Backbone be considered a subcategory of 'Herbivore'?, False.
Can Wing be considered a subcategory of 'Thing that is also something that (lays some (Herbivore that is also Wing))'?, True.
Can Animal that is also Thing that is also something that (lays some (Herbivore that is also Wing)) be considered a subcategory of 'Animal that is also Thing that is also something that (lays some (Herbivore that is also Wing))'?, False.
Can Egg be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Meat be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Carnivore be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Water be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Animal be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Reptile be considered a subcategory of 'Herbivore that is also Wing'?, False
Can Plant be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Vertebrate be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Cat be considered a subcategory of 'Herbivore that is also Wing'?, False
Can Fish be considered a subcategory of 'Herbivore that is also Wing'?, False
Can Mammal be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Herbivore be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Leg be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Elephant be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Bird be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Backbone be considered a subcategory of 'Herbivore that is also Wing'?, False.
Can Wing be considered a subcategory of 'Herbivore that is also Wing'?, Let's
Can Animal that is also Fish that is also Thing that is also something that (lays some (Herbivore that is also Wing)) be considered a subcategory of 'Animal that is also Fish that is also Thing that is also something that (lays some (Herbivore that is also Wing))'?, False.
Can Animal that is also Fish that is also Thing that is also something that (lays some (Herbivore that is also Wing that is also Thing)) be considered a subcategory of 'Animal that is also Fish that is also Thing that is also something that (lays some (Herbivore that is also Wing that is also Thing))'?, False.
Can Egg be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False
Can Meat be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Carnivore be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Water be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Animal be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Reptile be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Plant be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Vertebrate be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Cat be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Fish be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Mammal be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Herbivore be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Leg be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, False.
Can Elephant be considered a subcategory of 'Herbivore that is also Wing that is also Thing'?, True.
Can Bird that is also Plant be considered a subcategory of 'Backbone'?, False.
Can Water be considered a subcategory of 'something that has_part some Animal'?, False.
Can Elephant that is also Wing be considered a subcategory of 'Plant'?, False
Can Bird that is also Water be considered a subcategory of 'Meat'?, False.
Can Bird that is also Meat be considered a subcategory of 'Carnivore'?, False.
Can Egg be considered a subcategory of 'something that has_part some Vertebrate'?, False.
Can something that lays some Elephant be considered a subcategory of 'Carnivore'?, False.
Can something that lives_in some Plant be considered a subcategory of 'Backbone'?, False.
Can something that eats some Egg be considered a subcategory of 'Vertebrate'?, False.
Can Carnivore be considered a subcategory of 'something that lays some Plant'?, False.
Can Fish that is also Plant be considered a subcategory of 'Carnivore'?, False.
Can Wing be considered a subcategory of 'something that lays some Wing'?, False.
Can Plant that is also Water be considered a subcategory of 'Cat'?, False.
Can Cat be considered a subcategory of 'something that eats some Egg'?, False.
Can Animal that is also Plant be considered a subcategory of 'Vertebrate'?, False.
Can Leg that is also Wing be considered a subcategory of 'Egg'?, False.
Can Backbone that is also Herbivore be considered a subcategory of 'Wing'?, False.
Can something that lays some Cat be considered a subcategory of 'Elephant'?, False.
Can something that lays some Animal be considered a subcategory of 'Reptile'?, False.
Can Plant that is also Vertebrate be considered a subcategory of 'Fish'?, False.
Can Fish that is also Mammal be considered a subcategory of 'Wing'?, False
Can something that eats some Fish be considered a subcategory of 'Meat'?, False.
Can Animal that is also Carnivore be considered a subcategory of 'Mammal'?, False.
Can Animal that is also Egg be considered a subcategory of 'Elephant'?, False.
Can Water that is also Wing be considered a subcategory of 'Meat'?, False.
Can Animal that is also Wing be considered a subcategory of 'Leg'?, False.
Can Bird that is also Plant be considered a subcategory of 'Fish'?, False.
Can Elephant that is also Plant be considered a subcategory of 'Water'?, False.
Can Elephant that is also Fish be considered a subcategory of 'Meat'?, False.
Can Animal that is also Cat be considered a subcategory of 'Mammal'?, False.
Can Backbone that is also Plant be considered a subcategory of 'Bird'?, False.
Can Egg that is also Fish be considered a subcategory of 'Elephant'?, False
Can Fish that is also Herbivore be considered a subcategory of 'Leg'?, False
Can Cat that is also Herbivore be considered a subcategory of 'Fish'?, False.
Can something that has_part some Vertebrate be considered a subcategory of 'Elephant'?, False
Can Carnivore that is also Leg be considered a subcategory of 'Meat'?, False.
Can Animal that is also Cat be considered a subcategory of 'Bird'?, False.
Can Cat be considered a subcategory of 'something that lives_in some Bird'?, False.
Can Leg that is also Wing be considered a subcategory of 'Reptile'?, False.
Can Backbone that is also Elephant be considered a subcategory of 'Egg'?, False.
Can Animal that is also Fish be considered a subcategory of 'Bird'?, False.
Can Leg be considered a subcategory of 'something that lays some Reptile'?, False.
Can something that has_part some Bird be considered a subcategory of 'Bird'?, False.
Can Cat that is also Meat be considered a subcategory of 'Water'?, False.
Can Elephant be considered a subcategory of 'Plant'?, False.
Can Mammal that is also Plant be considered a subcategory of 'Bird'?, False.
Can Bird that is also Mammal be considered a subcategory of 'Fish'?, False.
Can Meat that is also Plant be considered a subcategory of 'Elephant'?, False.
Can Egg be considered a subcategory of 'Water'?, False.
Can Vertebrate be considered a subcategory of 'something that lays some Leg'?, False.
Can something that lives_in some Egg be considered a subcategory of 'Reptile'?, False.
Can Herbivore be considered a subcategory of 'something that lays some Mammal'?, False.
Can Animal that is also Wing be considered a subcategory of 'Meat'?, False.
Can Egg that is also Fish be considered a subcategory of 'Water'?, False.
Can Fish that is also Leg be considered a subcategory of 'Reptile'?, False.
Can something that has_part some Animal be considered a subcategory of 'Leg'?, False.
Can Plant be considered a subcategory of 'Fish'?, False.
Can Backbone that is also Cat be considered a subcategory of 'Mammal'?, False.
Can Bird that is also Carnivore be considered a subcategory of 'Fish'?, False.
Can Meat that is also Plant be considered a subcategory of 'Bird'?, False.
Can Fish that is also Vertebrate be considered a subcategory of 'Reptile'?, False.
Can Vertebrate be considered a subcategory of 'Fish'?, False.
Can Leg that is also Plant be considered a subcategory of 'Mammal'?, False.
Can Elephant that is also Fish be considered a subcategory of 'Mammal'?, False.
Can Bird that is also Cat be considered a subcategory of 'Fish'?, False.
Can Plant that is also Reptile be considered a subcategory of 'Bird'?, False.
Can Animal be considered a subcategory of 'something that has_part some Bird'?, False.
Can something that has_part some Wing be considered a subcategory of 'Elephant'?, False.
Can Carnivore that is also Reptile be considered a subcategory of 'Egg'?, False.
Can Elephant that is also Water be considered a subcategory of 'Leg'?, False.
Can Carnivore be considered a subcategory of 'something that lays some Bird'?, False.
Can Carnivore be considered a subcategory of 'something that eats some Water'?, False.
Can Egg that is also Elephant be considered a subcategory of 'Mammal'?, False.
Can Vertebrate be considered a subcategory of 'something that has_part some Bird'?, False
Can Bird be considered a subcategory of 'something that eats some Reptile'?, False.
Can Backbone that is also Elephant be considered a subcategory of 'Leg'?, False.
Can Egg be considered a subcategory of 'something that lives_in some Elephant'?, False.
Can Meat that is also Wing be considered a subcategory of 'Herbivore'?, False.
Can Reptile be considered a subcategory of 'something that eats some Carnivore'?, True.
Can Reptile be considered a subcategory of 'Egg'?, False.
Can Reptile be considered a subcategory of 'Meat'?, False.
Can Reptile be considered a subcategory of 'Carnivore'?, False.
Can Reptile be considered a subcategory of 'Water'?, False.
Can Reptile be considered a subcategory of 'Plant'?, False.
Can Reptile be considered a subcategory of 'Vertebrate'?, True.
Can Reptile be considered a subcategory of 'Animal'?, True.
Can Reptile be considered a subcategory of 'Animal that is also Vertebrate'?, False.
Can Reptile be considered a subcategory of 'Cat'?, False
Can Reptile be considered a subcategory of 'Fish'?, False.
Can Reptile be considered a subcategory of 'Mammal'?, False.
Can Reptile be considered a subcategory of 'Leg'?, False.
Can Reptile be considered a subcategory of 'Elephant'?, False.
Can Reptile be considered a subcategory of 'Bird'?, False.
Can Reptile be considered a subcategory of 'Backbone'?, False.
Can Reptile be considered a subcategory of 'Wing'?, False.
Can Elephant that is also Plant be considered a subcategory of 'Fish'?, False.
Can Leg be considered a subcategory of 'something that has_part some Leg'?, True.
Can Leg be considered a subcategory of 'Egg'?, False.
Can Leg be considered a subcategory of 'Meat'?, False.
Can Leg be considered a subcategory of 'Carnivore'?, False.
Can Leg be considered a subcategory of 'Water'?, False
Can Leg be considered a subcategory of 'Reptile'?, False.
Can Leg be considered a subcategory of 'Plant'?, False.
Can Leg be considered a subcategory of 'Vertebrate'?, False.
Can Leg be considered a subcategory of 'Cat'?, False.
Can Leg be considered a subcategory of 'Fish'?, False
Can Leg be considered a subcategory of 'Mammal'?, True.
Can Leg be considered a subcategory of 'Animal'?, False
Can Leg be considered a subcategory of 'Elephant'?, False.
Can Leg be considered a subcategory of 'Bird'?, False
Can Leg be considered a subcategory of 'Backbone'?, False.
Can Leg be considered a subcategory of 'Wing'?, False
Can something that has_part some Wing be considered a subcategory of 'Bird'?, False
Can Plant be considered a subcategory of 'something that lays some Elephant'?, False.
Can Animal that is also Herbivore be considered a subcategory of 'Cat'?, False.
Can Meat be considered a subcategory of 'something that lays some Water'?, False.
Can Vertebrate be considered a subcategory of 'something that has_part some Egg'?, False
Can Elephant that is also Herbivore be considered a subcategory of 'Cat'?, False
Can Backbone that is also Elephant be considered a subcategory of 'Reptile'?, False.
Can Herbivore be considered a subcategory of 'something that has_part some Fish'?, False.
Can Reptile be considered a subcategory of 'something that lays some Water'?, False.
Can Animal that is also Backbone be considered a subcategory of 'Elephant'?, False.
Can something that eats some Water be considered a subcategory of 'Water'?, False.
Can something that lays some Herbivore be considered a subcategory of 'Mammal'?, False.
Can Elephant that is also Meat be considered a subcategory of 'Egg'?, False
Can Carnivore that is also Wing be considered a subcategory of 'Vertebrate'?, False.
Can Mammal that is also Water be considered a subcategory of 'Reptile'?, False.
Can Carnivore be considered a subcategory of 'something that lives_in some Fish'?, False.
Can Cat that is also Egg be considered a subcategory of 'Fish'?, False.
Can Wing be considered a subcategory of 'something that lives_in some Leg'?, False.
Can Wing be considered a subcategory of 'something that has_part some Elephant'?, True.
Can Egg be considered a subcategory of 'something that has_part some Elephant'?, False.
Can Meat be considered a subcategory of 'something that has_part some Elephant'?, False.
Can Carnivore be considered a subcategory of 'something that has_part some Elephant'?, False.
Can Water be considered a subcategory of 'something that has_part some Elephant'?, False.
