Parent and Person SubClassOf Father, \nFalse
Man and Woman SubClassOf Sister, \nFalse
Male SubClassOf hasSibling some Mother, \nTrue
Male SubClassOf GrandMother, \nFalse
Male SubClassOf Son, \nTrue
Male SubClassOf Thing, \nTrue
Male SubClassOf Son and Thing, \nFalse
Male SubClassOf Female, \nFalse
Male SubClassOf Father, \nTrue
Male SubClassOf Father and Son, \nFalse
Male SubClassOf Child, \nFalse
Male SubClassOf Person, \nFalse
Male SubClassOf Brother, \nFalse
Male SubClassOf Parent, \nTrue
Male SubClassOf Parent and Son, \nFalse
Male SubClassOf Daughter, \nFalse
Male SubClassOf Man, \nTrue
Male SubClassOf Man and Son, \nTrue
Male SubClassOf Mother, \nTrue
Male SubClassOf Man and Mother and Son, \nFalse
Male SubClassOf GrandParent, \nFalse
Male SubClassOf Sex, \nTrue
Male SubClassOf Man and Sex and Son, \nFalse
Male SubClassOf Sister, \nFalse
Male SubClassOf OffSpring, False
Male SubClassOf Woman, \nFalse
Male SubClassOf Sibling, \nFalse
Male SubClassOf GrandFather, \nFalse
Male SubClassOf Man and Son and Thing, \nFalse
Male SubClassOf Father and Man and Son, \nFalse
Male SubClassOf Man and Parent and Son, \nFalse
hasParent some Sister SubClassOf Sex, \nFalse
Son SubClassOf hasParent some Brother, \nFalse
GrandFather and OffSpring SubClassOf Son, \nTrue
GrandFather and OffSpring SubClassOf GrandMother, \nTrue
OffSpring SubClassOf GrandMother, \nFalse
GrandFather SubClassOf GrandMother, \nFalse
Sibling and Son SubClassOf Woman, \nFalse
hasSibling some Female SubClassOf Sex, \nFalse
Father and Mother SubClassOf Son, \nFalse
GrandFather and Woman SubClassOf Brother, \nFalse
Child and Person SubClassOf Male, \nFalse
Female and GrandMother SubClassOf OffSpring, \nFalse
Father and Mother SubClassOf OffSpring, \nFalse
Parent and Sister SubClassOf Child, \nFalse
Man SubClassOf Son, \nTrue
Man SubClassOf GrandMother, \nFalse
Man SubClassOf Thing, \nFalse
Man SubClassOf Female, \nFalse
Man SubClassOf Father, \nTrue
Man SubClassOf Father and Son, \nTrue
Man SubClassOf Child, \nFalse
Man SubClassOf Person, \nTrue
Man SubClassOf Father and Person and Son, \nTrue
Man SubClassOf Brother, \nFalse
Man SubClassOf Parent, \nTrue
Man SubClassOf Father and Parent and Person and Son, \nFalse
Man SubClassOf Daughter, \nFalse
Man SubClassOf Mother, \nTrue
Man SubClassOf Father and Mother and Person and Son, \nFalse
Man SubClassOf GrandParent, \nTrue
Man SubClassOf Father and GrandParent and Person and Son, \nTrue
Man SubClassOf Sex, \nFalse
Man SubClassOf Sister, False
Man SubClassOf OffSpring, \nFalse
Man SubClassOf Woman, \nFalse
Man SubClassOf Male, \nFalse
Man SubClassOf Sibling, \nFalse
Man SubClassOf GrandFather, \nFalse
Man SubClassOf Father and GrandParent and Parent and Person and Son, \nFalse
Man SubClassOf Father and GrandParent and Mother and Person and Son, \nFalse
hasSex some Woman SubClassOf Male, False
hasChild some Child SubClassOf Child, \nFalse
hasParent some OffSpring SubClassOf Person, \nFalse
hasSibling some Son SubClassOf Person, \nFalse
Male and Mother SubClassOf Sibling, \nFalse
GrandFather and Sibling SubClassOf Sex, \nFalse
Father and Male SubClassOf Mother, \nFalse
Father and GrandFather SubClassOf Mother, \nTrue
Father and GrandFather SubClassOf GrandMother, \nFalse
Father and GrandFather SubClassOf Son, \nTrue
Father SubClassOf Son, \nTrue
Father SubClassOf GrandMother, \nFalse
Father SubClassOf Thing, \nTrue
Father SubClassOf Son and Thing, \nFalse
Father SubClassOf Female, \nFalse
Father SubClassOf Child, \nTrue
Father SubClassOf Child and Son, \nFalse
Father SubClassOf Person, \nTrue
Father SubClassOf Person and Son, True
Father SubClassOf Brother, \nFalse
Father SubClassOf Parent, \nTrue
Father SubClassOf Parent and Person and Son, \nFalse
Father SubClassOf Daughter, \nFalse
Father SubClassOf Man, \nTrue
Father SubClassOf Man and Person and Son, \nFalse
Father SubClassOf Mother, \nTrue
Father SubClassOf Mother and Person and Son, \nFalse
Father SubClassOf GrandParent, \nTrue
Father SubClassOf GrandParent and Person and Son, \nFalse
Father SubClassOf Sex, \nFalse
Father SubClassOf Sister, \nFalse
Father SubClassOf OffSpring, \nTrue
Father SubClassOf OffSpring and Person and Son, \nFalse
Father SubClassOf Woman, \nFalse
Father SubClassOf Male, \nTrue
Father SubClassOf Male and Person and Son, \nTrue
Father SubClassOf Sibling, \nFalse
Father SubClassOf GrandFather, \nFalse
Father SubClassOf Male and Person and Son and Thing, \nFalse
Father SubClassOf Child and Male and Person and Son, \nTrue
Father SubClassOf Child and Male and Parent and Person and Son, \nFalse
Father SubClassOf Child and Male and Man and Person and Son, \nTrue
Father SubClassOf Child and Male and Man and Mother and Person and Son, \nTrue
Father SubClassOf Child and GrandParent and Male and Man and Mother and Person and Son, \nHere
Father SubClassOf Child and Male and Man and Mother and OffSpring and Person and Son, \nFalse
Child and Parent SubClassOf Woman, \nFalse
Brother and Person SubClassOf Daughter, \nFalse
Brother and Woman SubClassOf Female, \nFalse
Child and Woman SubClassOf Daughter, \nFalse
Mother and Person SubClassOf Sex, \nFalse
hasChild some GrandParent SubClassOf Brother, \nFalse
Sibling and Sister SubClassOf Brother, \nFalse
Female and Person SubClassOf Woman, \nFalse
GrandParent and Person SubClassOf GrandFather, \nFalse
hasSibling some Son SubClassOf GrandMother, \nFalse
GrandParent SubClassOf Woman, \nFalse
Child SubClassOf hasSex some Sister, \nFalse
Female and Sibling SubClassOf Man, \nFalse
Female and Mother SubClassOf Father, \nFalse
Daughter and GrandMother SubClassOf GrandParent, \nTrue
Daughter and GrandMother SubClassOf Son, \nFalse
Daughter and GrandMother SubClassOf Female, \nTrue
GrandMother SubClassOf Female, \nTrue
GrandMother SubClassOf Thing, \nTrue
GrandMother SubClassOf Female and Thing, \nFalse
GrandMother SubClassOf Son, \nFalse
GrandMother SubClassOf Father, True
GrandMother SubClassOf Father and Female, \nTrue
GrandMother SubClassOf Child, \nTrue
GrandMother SubClassOf Child and Father and Female, \nFalse
GrandMother SubClassOf Person, \nTrue
GrandMother SubClassOf Father and Female and Person, \nTrue
GrandMother SubClassOf Brother, \nFalse
GrandMother SubClassOf Parent, \nTrue
GrandMother SubClassOf Father and Female and Parent and Person, \nTrue
GrandMother SubClassOf Daughter, False
GrandMother SubClassOf Man, \nTrue
GrandMother SubClassOf Father and Female and Man and Parent and Person, \nTrue
GrandMother SubClassOf Mother, True
GrandMother SubClassOf Father and Female and Man and Mother and Parent and Person, \nFalse
GrandMother SubClassOf GrandParent, \nTrue
GrandMother SubClassOf Father and Female and GrandParent and Man and Parent and Person, \nFalse
GrandMother SubClassOf Sex, False
GrandMother SubClassOf Sister, False
GrandMother SubClassOf OffSpring, \nTrue
GrandMother SubClassOf Father and Female and Man and OffSpring and Parent and Person, \nFalse
GrandMother SubClassOf Woman, False.
GrandMother SubClassOf Male, \nFalse
GrandMother SubClassOf Sibling, False
GrandMother SubClassOf GrandFather, \nFalse
GrandMother SubClassOf Father and Female and Man and Parent and Person and Thing, \nTrue
GrandMother SubClassOf Child and Father and Female and Man and Parent and Person and Thing, \nFalse
GrandMother SubClassOf Father and Female and Man and Mother and Parent and Person and Thing, \nFalse
GrandMother SubClassOf Father and Female and GrandParent and Man and Parent and Person and Thing, \nFalse
GrandMother SubClassOf Father and Female and Man and OffSpring and Parent and Person and Thing, \nFalse
Parent SubClassOf hasChild some Sister, \nFalse
hasChild some Person SubClassOf Person, \nFalse
Sex SubClassOf hasSibling some Man, \nFalse
OffSpring and Sister SubClassOf Daughter, \nFalse
Brother and GrandParent SubClassOf GrandFather, \nFalse
Daughter SubClassOf hasParent some GrandFather, \nFalse
Child and Person SubClassOf GrandMother, \nFalse
GrandFather SubClassOf hasSibling some Woman, \nFalse
Person and Sister SubClassOf Parent, \nTrue
Person and Sister SubClassOf GrandMother, \nFalse
Person and Sister SubClassOf Son, \nTrue
Sister SubClassOf Son, \nFalse
Person SubClassOf Son, \nTrue
Person SubClassOf GrandMother, False
Person SubClassOf Thing, \nFalse
Person SubClassOf Female, False
Person SubClassOf Father, \nFalse
Person SubClassOf Child, \nFalse
Person SubClassOf Brother, False
Person SubClassOf Parent, \nTrue
Person SubClassOf Parent and Son, \nFalse
Person SubClassOf Daughter, \nFalse
Person SubClassOf Man, \nTrue
Person SubClassOf Man and Son, \nFalse
Person SubClassOf Mother, \nTrue
Person SubClassOf Mother and Son, \nFalse
Person SubClassOf GrandParent, \nFalse
Person SubClassOf Sex, \nFalse
Person SubClassOf Sister, \nFalse
Person SubClassOf OffSpring, \nFalse
Person SubClassOf Woman, False
Person SubClassOf Male, \nFalse
Person SubClassOf Sibling, False
Person SubClassOf GrandFather, \nFalse
Daughter and GrandFather SubClassOf Male, \nFalse
OffSpring and Sibling SubClassOf Man, False
Man SubClassOf hasSibling some Sister, True
GrandMother SubClassOf hasSibling some Sister, \nTrue
Thing and (hasSibling some Sister) SubClassOf Thing and (hasSibling some Sister), \nFalse
GrandMother SubClassOf GrandMother, False
Thing SubClassOf GrandMother, \nFalse
Thing SubClassOf Thing and (hasSibling some Sister), \nTrue
Thing SubClassOf Thing, \nTrue
Thing SubClassOf Son, False
Thing SubClassOf Female, \nFalse
Thing SubClassOf Father, \nFalse
Thing SubClassOf Child, \nTrue
Child SubClassOf Thing, \nTrue
Thing SubClassOf Person, \nTrue
Person SubClassOf Thing and (hasSibling some Sister), \nFalse
Thing SubClassOf Brother, \nFalse
Thing SubClassOf Parent, True
Parent SubClassOf Thing, \nTrue
Thing SubClassOf Daughter, \nFalse
Thing SubClassOf Man, \nTrue
Man SubClassOf Thing and (hasSibling some Sister), \nTrue
Parent SubClassOf Man, \nFalse
Parent SubClassOf Thing and (hasSibling some Sister), \nFalse
Man SubClassOf Man, \nTrue
Mother SubClassOf Man, \nTrue
GrandParent SubClassOf Man, False
GrandParent SubClassOf Thing and (hasSibling some Sister), \nTrue
GrandParent SubClassOf GrandMother, \nFalse
GrandParent SubClassOf Thing, \nTrue
Thing SubClassOf GrandParent, \nTrue
GrandParent SubClassOf Son, False
GrandParent SubClassOf Female, \nFalse
GrandParent SubClassOf Father, \nTrue
GrandParent SubClassOf Child, False
GrandParent SubClassOf Person, \nTrue
GrandParent SubClassOf Brother, \nFalse
GrandParent SubClassOf Parent, True
Parent SubClassOf GrandParent, \nTrue
GrandParent SubClassOf Daughter, \nFalse
GrandParent SubClassOf Mother, \nFalse
GrandParent SubClassOf GrandParent, False
GrandParent SubClassOf Sex, \nFalse
GrandParent SubClassOf Sister, \nFalse
GrandParent SubClassOf OffSpring, \nFalse
GrandParent SubClassOf Male, \nFalse
GrandParent SubClassOf Sibling, \nFalse
GrandParent SubClassOf GrandFather, \nFalse
Thing SubClassOf Sister, \nFalse
Female SubClassOf Sister, \nTrue
Female SubClassOf GrandMother, \nFalse
Female SubClassOf Thing, \nFalse
Female SubClassOf Son, \nFalse
Female SubClassOf Father, \nFalse
Female SubClassOf Child, \nFalse
Female SubClassOf Person, \nFalse
Female SubClassOf Brother, \nFalse
Female SubClassOf Parent, \nTrue
Female SubClassOf Parent and Sister, \nFalse
Female SubClassOf Daughter, \nFalse
Female SubClassOf Man, \nFalse
Female SubClassOf Mother, \nTrue
Female SubClassOf Mother and Sister, \nFalse
Female SubClassOf GrandParent, \nFalse
Female SubClassOf Sex, \nFalse
Female SubClassOf OffSpring, \nFalse
Female SubClassOf Woman, \nFalse
Female SubClassOf Male, \nFalse
Female SubClassOf Sibling, \nFalse
Female SubClassOf GrandFather, \nFalse
GrandParent and Sister SubClassOf GrandMother, \nFalse
hasChild some Brother SubClassOf Father, \nFalse
OffSpring SubClassOf GrandFather, \nFalse
GrandFather and GrandParent SubClassOf Daughter, \nFalse
Child and Daughter SubClassOf Woman, \nFalse
Daughter SubClassOf hasSex some Child, \nFalse
Mother SubClassOf hasChild some Son, \nTrue
Mother SubClassOf GrandMother, \nFalse
Mother SubClassOf Son, \nFalse
Mother SubClassOf Female, \nTrue
Mother SubClassOf Thing, \nTrue
Mother SubClassOf Female and Thing, \nTrue
Mother SubClassOf Father, \nFalse
Mother SubClassOf Child, \nTrue
Mother SubClassOf Child and Female and Thing, \nFalse
Mother SubClassOf Person, \nTrue
Mother SubClassOf Female and Person and Thing, \nFalse
Mother SubClassOf Brother, \nFalse
Mother SubClassOf Parent, True
Mother SubClassOf Female and Parent and Thing, \nTrue
Mother SubClassOf Daughter, \nFalse
Mother SubClassOf Female and Man and Parent and Thing, \nFalse
Mother SubClassOf GrandParent, \nTrue
Mother SubClassOf Female and GrandParent and Parent and Thing, \nTrue
Mother SubClassOf Sex, \nFalse
Mother SubClassOf Sister, \nTrue
Mother SubClassOf Female and GrandParent and Parent and Sister and Thing, \nFalse
Mother SubClassOf OffSpring, \nTrue
Mother SubClassOf Female and GrandParent and OffSpring and Parent and Thing, \nFalse
Mother SubClassOf Woman, True
Mother SubClassOf Female and GrandParent and Parent and Woman and Thing, \nFalse
Mother SubClassOf Male, \nFalse
Mother SubClassOf Sibling, \nFalse
Mother SubClassOf GrandFather, \nFalse
Mother SubClassOf Child and Female and GrandParent and Parent and Thing, \nFalse
Mother SubClassOf Female and GrandParent and Parent and Person and Thing, \nFalse
Mother SubClassOf Female and GrandParent and Man and Parent and Thing, \nFalse
Father SubClassOf hasSibling some Parent, \nTrue
GrandMother SubClassOf hasSibling some Parent, \nTrue
Thing and (hasSibling some Parent) SubClassOf Thing and (hasSibling some Parent), \nFalse
Thing SubClassOf Thing and (hasSibling some Parent), \nFalse
Female SubClassOf Thing and (hasSibling some Parent), \nTrue
Female SubClassOf Female, \nTrue
Parent SubClassOf Female, \nFalse
Parent SubClassOf Thing and (hasSibling some Parent), \nTrue
Parent SubClassOf GrandMother, \nFalse
Parent SubClassOf Son, \nTrue
Parent SubClassOf Father, \nTrue
Parent SubClassOf Child, \nTrue
Child SubClassOf Parent, \nTrue
Parent SubClassOf Person, \nTrue
Parent SubClassOf Brother, \nFalse
Parent SubClassOf Parent, \nFalse
Parent SubClassOf Daughter, \nTrue
Daughter SubClassOf Parent, True
Parent SubClassOf Mother, \nFalse
Parent SubClassOf Sex, \nFalse
Parent SubClassOf Sister, \nTrue
Sister SubClassOf Parent, \nTrue
Parent SubClassOf OffSpring, \nFalse
Parent SubClassOf Woman, \nFalse
Parent SubClassOf Male, \nFalse
Parent SubClassOf Sibling, \nFalse
Parent SubClassOf GrandFather, \nFalse
Thing SubClassOf Child and Parent, \nFalse
Thing SubClassOf Parent and Person, \nFalse
Thing SubClassOf Man and Parent, \nFalse
Thing SubClassOf Mother, True
Thing SubClassOf Mother and Parent, \nFalse
Thing SubClassOf GrandParent and Parent, \nTrue
Thing SubClassOf Sex, \nFalse
Thing SubClassOf OffSpring, \nFalse
Thing SubClassOf Woman, \nFalse
Thing SubClassOf Male, \nFalse
Thing SubClassOf Sibling, \nFalse
Thing SubClassOf GrandFather, \nFalse
Thing SubClassOf Child and GrandParent and Parent, \nFalse
Thing SubClassOf GrandParent and Parent and Person, \nTrue
Thing SubClassOf GrandParent and Man and Parent and Person, \nTrue
Thing SubClassOf GrandParent and Man and Mother and Parent and Person, \nTrue
Daughter and GrandFather SubClassOf Woman, \nFalse
GrandFather and Man SubClassOf Woman, \nFalse
Child and Woman SubClassOf Sex, \nFalse
Father and GrandParent SubClassOf Woman, \nFalse
GrandMother and Man SubClassOf Woman, \nFalse
Brother SubClassOf hasSex some Mother, \nFalse
Sibling and Son SubClassOf Brother, \nFalse
Male and Sex SubClassOf Brother, \nFalse
Father and Parent SubClassOf Woman, \nFalse
Brother SubClassOf hasParent some GrandParent, \nFalse
Daughter and GrandFather SubClassOf Sibling, \nFalse
Woman SubClassOf hasSibling some GrandFather, \nFalse
Daughter and Father SubClassOf Brother, \nFalse
Sister SubClassOf hasSex some Daughter, \nFalse
Man SubClassOf hasChild some Sibling, \nFalse
hasSex some Sibling SubClassOf Brother, \nFalse
Woman SubClassOf hasParent some OffSpring, \nFalse
Person SubClassOf hasChild some Child, True
GrandMother SubClassOf hasChild some Child, True
GrandMother and (hasChild some Child) SubClassOf GrandMother and (hasChild some Child), \nTrue
GrandMother SubClassOf GrandMother and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Female and GrandMother and Thing and (hasChild some Child), \nFalse
GrandMother SubClassOf Father and GrandMother and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Child and Father and GrandMother and Thing and (hasChild some Child), \nFalse
GrandMother SubClassOf Father and GrandMother and Person and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Father and GrandMother and Parent and Person and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Father and GrandMother and Man and Parent and Person and Thing and (hasChild some Child), \nThe
GrandMother SubClassOf Father and GrandMother and Mother and Parent and Person and Thing and (hasChild some Child), \nFalse
GrandMother SubClassOf Father and GrandMother and GrandParent and Parent and Person and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some Child), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Thing)), \nFalse
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Female)), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female)), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and Person)), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and Parent and Person)), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and Man and Parent and Person)), \nFalse
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and Mother and Parent and Person)), \nFalse
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and GrandParent and Parent and Person)), \nTrue
GrandMother SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Father and GrandMother and GrandParent and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)) SubClassOf Father and GrandMother and GrandParent and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)) SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nThe
Thing SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Person SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Son SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Son SubClassOf Son, \nFalse
Child SubClassOf Son, \nTrue
Daughter SubClassOf Son, \nFalse
Daughter SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
Daughter SubClassOf GrandMother, \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person)), \nFalse
GrandMother SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and OffSpring and Parent and Person and Thing)), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and OffSpring and Parent and Person and Thing)), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)) SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nThe
Thing SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
Person SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
Son SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
Daughter SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and OffSpring and Parent and Person and Son and Thing and (hasChild some (Child and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Person and Thing)), \nTrue
Man SubClassOf hasSex some Child, \nFalse
Daughter and Mother SubClassOf Woman, \nTrue
Daughter and Mother SubClassOf Brother, \nFalse
Daughter and Mother SubClassOf Sex, \nFalse
Daughter SubClassOf Woman, \nTrue
Daughter SubClassOf GrandMother and Woman, \nFalse
Daughter SubClassOf Thing, \nTrue
Daughter SubClassOf Woman and Thing, \nTrue
Daughter SubClassOf Female, \nTrue
Daughter SubClassOf Female and Woman and Thing, \nFalse
Daughter SubClassOf Father, \nTrue
Daughter SubClassOf Father and Woman and Thing, \nFalse
Daughter SubClassOf Child, \nTrue
Daughter SubClassOf Child and Woman and Thing, \nFalse
Daughter SubClassOf Person, \nFalse
Daughter SubClassOf Brother, \nFalse
Daughter SubClassOf Parent and Woman and Thing, \nTrue
Daughter SubClassOf Man, \nTrue
Daughter SubClassOf Man and Parent and Woman and Thing, \nFalse
Daughter SubClassOf Mother, \nTrue
Daughter SubClassOf Mother and Parent and Woman and Thing, \nTrue
Daughter SubClassOf GrandParent, \nTrue
Daughter SubClassOf GrandParent and Mother and Parent and Woman and Thing, \nThe
Daughter SubClassOf Sex, \nFalse
Daughter SubClassOf Sister, \nTrue
Daughter SubClassOf Mother and Parent and Sister and Woman and Thing, \nFalse
Daughter SubClassOf OffSpring, \nTrue
Daughter SubClassOf Mother and OffSpring and Parent and Woman and Thing, \nThe
Daughter SubClassOf Male, \nFalse
Daughter SubClassOf Sibling, \nFalse
Daughter SubClassOf GrandFather, \nFalse
Daughter SubClassOf GrandMother and Mother and Parent and Woman and Thing, \nThe
Daughter SubClassOf Female and Mother and Parent and Woman and Thing, \nThe
Daughter SubClassOf Father and Mother and Parent and Woman and Thing, \nTrue
Daughter SubClassOf Child and Father and Mother and Parent and Woman and Thing, \nHere
Daughter SubClassOf Father and Man and Mother and Parent and Woman and Thing, \nFalse
Daughter SubClassOf Father and GrandParent and Mother and Parent and Woman and Thing, \nHere
Daughter SubClassOf Father and Mother and Parent and Sister and Woman and Thing, \nThe
Daughter SubClassOf Father and Mother and OffSpring and Parent and Woman and Thing, \nThe
Female and GrandMother SubClassOf Sibling, \nFalse
Man SubClassOf hasSex some GrandFather, \nFalse
Brother and Sex SubClassOf Sibling, \nFalse
Brother and Son SubClassOf Sibling, \nFalse
Father and Man SubClassOf Sex, \nFalse
hasParent some Child SubClassOf Brother, \nFalse
GrandFather and GrandParent SubClassOf Sex, \nFalse
GrandParent SubClassOf hasSex some Sibling, \nFalse
hasSibling some Sibling SubClassOf Sibling, \nTrue
hasSibling some Sibling SubClassOf Brother, \nTrue
Sibling SubClassOf Brother, \nFalse
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sister and Son and Woman and Thing SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sibling and Sister and Son and Woman and Thing)), \nHere
Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sister and Son and Woman and Thing SubClassOf Brother, \nHere
