Parent and Person SubClassOf Father,  False.
hasSibling some Son SubClassOf GrandMother,  False.
hasSibling some Son SubClassOf Son,  False.
hasSibling some Son SubClassOf Female,  False.
hasSibling some Son SubClassOf Father,  False.
hasSibling some Son SubClassOf Child,  False.
Son SubClassOf Person,  False.
Thing SubClassOf hasSibling some Son,  False.
Son SubClassOf GrandMother,  False.
Son SubClassOf Female,  False.
Son SubClassOf Father,  False.
Son SubClassOf Child,  False.
Son SubClassOf Brother,  False.
Son SubClassOf Parent,  False.
Son SubClassOf Daughter,  False.
Son SubClassOf Man,  False.
Son SubClassOf Mother,  False.
Son SubClassOf GrandParent,  False.
Son SubClassOf Sex,  False.
Son SubClassOf Sister,  False.
Son SubClassOf OffSpring,  False.
Son SubClassOf Woman,  False.
Son SubClassOf Male,  False.
Son SubClassOf Sibling,  False.
Son SubClassOf GrandFather,  False.
hasSibling some Thing SubClassOf Person,  False.
Man and Son SubClassOf Daughter,  False.
Male and Mother SubClassOf Sibling,  False.
GrandFather and Sibling SubClassOf Sex,  False.
Father and Male SubClassOf Mother,  False.
Father and GrandFather SubClassOf Mother,  False.
Child and Parent SubClassOf Woman,  False.
Brother and Person SubClassOf Daughter,  False.
Brother and Woman SubClassOf Female,  False.
Child and Woman SubClassOf Daughter,  False.
Female and Man SubClassOf Mother,  False.
Mother and Person SubClassOf Sex,  False.
hasChild some GrandParent SubClassOf Brother,  False.
Sibling and Sister SubClassOf Brother,  False.
Female and Person SubClassOf Woman,  False.
GrandParent and Person SubClassOf GrandFather,  False.
GrandParent SubClassOf Woman,  False.
Male and OffSpring SubClassOf Father,  False.
Child SubClassOf hasSex some Sister,  False.
Female and Sibling SubClassOf Man,  False.
Female and Mother SubClassOf Father,  False.
Daughter and GrandMother SubClassOf GrandParent,  False.
Man and Sex SubClassOf GrandParent,  False.
Parent SubClassOf hasChild some Sister,  False.
hasChild some Person SubClassOf Person,  False.
Sex SubClassOf hasSibling some Man,  False.
OffSpring and Sister SubClassOf Daughter,  False.
Brother and GrandParent SubClassOf GrandFather,  False.
Daughter SubClassOf hasParent some GrandFather,  False.
Child and Person SubClassOf GrandMother,  False.
GrandFather SubClassOf hasSibling some Woman,  False.
Person and Sister SubClassOf Parent,  False.
Daughter and GrandFather SubClassOf Male,  False.
Daughter and GrandMother SubClassOf Man,  False.
GrandFather and Man SubClassOf Daughter,  False.
Male and Sister SubClassOf Child,  False.
OffSpring and Sibling SubClassOf Man,  Offspring
Man SubClassOf hasSibling some Sister,  False.
GrandParent and Sister SubClassOf GrandMother,  False.
hasChild some Brother SubClassOf Father,  False.
GrandMother and Woman SubClassOf Sister,  False.
OffSpring SubClassOf GrandFather,  False.
Daughter and Man SubClassOf GrandMother,  False.
GrandFather and GrandParent SubClassOf Daughter,  False.
GrandMother and OffSpring SubClassOf Son,  False.
Child and Daughter SubClassOf Woman,  True.
Child and Daughter SubClassOf GrandMother,  False.
Child and Daughter SubClassOf Son,  False.
Child and Daughter SubClassOf Female,  True.
Child SubClassOf Female,  False.
Daughter SubClassOf Female,  True.
Daughter SubClassOf GrandMother,  False.
Daughter SubClassOf Thing,  True.
Daughter SubClassOf Female and Thing,  True for
Daughter SubClassOf Son,  False.
Daughter SubClassOf Father,  False.
Daughter SubClassOf Child,  False.
Daughter SubClassOf Person,  True.
Daughter SubClassOf Female and Person,  True,
Daughter SubClassOf Brother,  False.
Daughter SubClassOf Parent,  False.
Daughter SubClassOf Man,  False.
Daughter SubClassOf Mother,  False.
Daughter SubClassOf GrandParent,  False.
Daughter SubClassOf Sex,  False.
Daughter SubClassOf Sister,  False.
Daughter SubClassOf OffSpring,  True.
Daughter SubClassOf Female and OffSpring and Person,  True for
Daughter SubClassOf Woman,  True.
Daughter SubClassOf Female and Person and Woman,  True for
Daughter SubClassOf Male,  False.
Daughter SubClassOf Sibling,  False.
Daughter SubClassOf GrandFather,  False.
Daughter SubClassOf Female and Person and Thing,  True for
Daughter SubClassOf hasSex some Child,  False.
Mother SubClassOf hasChild some Son,  False.
GrandMother and Woman SubClassOf Parent,  False.
Father SubClassOf hasSibling some Parent,  False.
Parent and Sex SubClassOf OffSpring,  False.
hasParent some Brother SubClassOf OffSpring,  False.
GrandParent and Sex SubClassOf Child,  False.
Brother and OffSpring SubClassOf Son,  False.
GrandParent and Sister SubClassOf Male,  False.
Man and Sibling SubClassOf Child,  False.
Daughter and GrandFather SubClassOf Woman,  False.
Father and Female SubClassOf Sister,  False.
GrandFather and Man SubClassOf Woman,  False.
Child and Woman SubClassOf Sex,  False.
Child and Parent SubClassOf Female,  False.
Brother and OffSpring SubClassOf Mother,  False.
Father and GrandParent SubClassOf Woman,  False.
hasChild some Sister SubClassOf Female,  True.
hasChild some Sister SubClassOf GrandMother,  False.
hasChild some Sister SubClassOf Son,  False.
Sister SubClassOf Female,  False.
Thing SubClassOf hasChild some Sister,  False.
Sister SubClassOf GrandMother,  False.
Sister SubClassOf Son,  False.
Sister SubClassOf Father,  False.
Sister SubClassOf Child,  False.
Sister SubClassOf Person,  False.
Sister SubClassOf Brother,  False.
Sister SubClassOf Parent,  False.
Sister SubClassOf Daughter,  False.
Sister SubClassOf Man,  False.
Sister SubClassOf Mother,  False.
Sister SubClassOf GrandParent,  False.
Sister SubClassOf Sex,  False.
Sister SubClassOf OffSpring,  False.
Sister SubClassOf Woman,  True.
GrandMother and Man SubClassOf Woman,  False.
Brother SubClassOf hasSex some Mother,  False.
GrandFather and Son SubClassOf Child,  False.
Sibling and Son SubClassOf Brother,  False.
Male and Sex SubClassOf Brother,  False.
hasSibling some Sex SubClassOf Son,  False.
Father and Parent SubClassOf Woman,  False.
Male and Person SubClassOf Child,  False.
hasParent some Daughter SubClassOf Son,  False.
hasSibling some GrandFather SubClassOf Father,  False.
Father and Person SubClassOf Sister,  False.
Male and Parent SubClassOf Man,  True.
Male and Parent SubClassOf GrandMother,  False.
Male and Parent SubClassOf Son,  False.
Male and Parent SubClassOf Female,  False.
Male and Parent SubClassOf Father,  False.
Male and Parent SubClassOf Child,  False.
Male and Parent SubClassOf Person,  True for
Male and Parent SubClassOf Brother,  False.
Male and Parent SubClassOf Daughter,  False.
Male SubClassOf Man,  True.
Male SubClassOf GrandMother,  False.
Male SubClassOf Thing,  True.
Male SubClassOf Man and Thing,  True,
Male SubClassOf Son,  False.
Male SubClassOf Female,  False.
Male SubClassOf Father,  False.
Male SubClassOf Child,  False.
Male SubClassOf Person,  True.
Male SubClassOf Man and Person and Thing,  True,
Male SubClassOf Brother,  False.
Male SubClassOf Parent,  False.
Male SubClassOf Daughter,  False.
Male SubClassOf Mother,  False.
Male SubClassOf GrandParent,  False.
Male SubClassOf Sex,  True.
Male SubClassOf Man and Person and Sex and Thing,  Here are
Male SubClassOf Sister,  False.
Male SubClassOf OffSpring,  False.
Male SubClassOf Woman,  False.
Male SubClassOf Sibling,  False.
Male SubClassOf GrandFather,  False.
hasParent some Father SubClassOf Father,  False.
Female and Parent SubClassOf GrandParent,  False.
Brother SubClassOf hasParent some GrandParent,  False.
Daughter and GrandFather SubClassOf Sibling,  False.
Child and Sibling SubClassOf Person,  True.
Child and Sibling SubClassOf GrandMother,  False.
Child and Sibling SubClassOf Son,  False.
Child and Sibling SubClassOf Female,  False.
Child and Sibling SubClassOf Father,  False.
Child SubClassOf Person,  True.
Child SubClassOf GrandMother,  False.
Child SubClassOf Thing,  True.
Child SubClassOf Person and Thing,  Child is
Child SubClassOf Son,  False.
Child SubClassOf Father,  False.
Child SubClassOf Brother,  False.
Child SubClassOf Parent,  False.
Child SubClassOf Daughter,  False.
Child SubClassOf Man,  False.
Child SubClassOf Mother,  False.
Child SubClassOf GrandParent,  False.
Child SubClassOf Sex,  False.
Child SubClassOf Sister,  False.
Child SubClassOf OffSpring,  False.
Child SubClassOf Woman,  False.
Child SubClassOf Male,  False.
Child SubClassOf Sibling,  False.
Child SubClassOf GrandFather,  False.
hasSex some Female SubClassOf Female,  True.
hasSex some Female SubClassOf GrandMother,  False.
hasSex some Female SubClassOf Son,  False.
Thing SubClassOf Thing and (hasSex some (Female and Person and Thing)),  True for
Female and Person and Thing SubClassOf GrandMother,  False.
Female and Person and Thing SubClassOf Son,  False.
Female and Person and Thing SubClassOf Father,  False.
Female and Person and Thing SubClassOf Child,  False.
Female and Person and Thing SubClassOf Brother,  False.
Female and Person and Thing SubClassOf Parent,  I'
Female and Person and Thing SubClassOf Daughter,  False.
Female and Person and Thing SubClassOf Man,  False.
Female and Person and Thing SubClassOf Mother,  False.
Female and Person and Thing SubClassOf GrandParent,  False.
Female and Person and Thing SubClassOf Sex,  False.
Female and Person and Thing SubClassOf Sister,  False.
Female and Person and Thing SubClassOf OffSpring,  False.
Female and Person and Thing SubClassOf Woman,  False.
Female and Person and Thing SubClassOf Male,  False.
Female and Person and Thing SubClassOf Sibling,  False.
Female and Person and Thing SubClassOf GrandFather,  False.
Thing and (hasSex some Female) and (hasSex some (Person and Thing)) SubClassOf Thing and (hasSex some (Female and Person and Thing)),  False.
Thing and (hasSex some Female) and (hasSex some (Person and Thing)) SubClassOf Female,  False.
Thing and (hasSex some (Female and Person and Thing)) SubClassOf Thing and (hasSex some (Female and Person and Thing)),  True for
Thing and (hasSex some (Female and Person and Thing)) SubClassOf Female,  False.
Thing and (hasSex some (Person and Thing)) SubClassOf Female,  False.
Thing and (hasSex some (Female and Thing)) SubClassOf Female,  False.
hasSibling some Mother SubClassOf Daughter,  False.
Woman SubClassOf hasSibling some GrandFather,  False.
Male and Sibling SubClassOf GrandFather,  False.
Daughter and Father SubClassOf Brother,  False.
Sister SubClassOf hasSex some Daughter,  False.
Man SubClassOf hasChild some Sibling,  False.
hasSex some Sibling SubClassOf Brother,  False.
hasChild some Female SubClassOf Mother,  True.
hasChild some Female SubClassOf GrandMother,  False.
hasChild some Female SubClassOf Son,  False.
hasChild some Female SubClassOf Female,  True.
Thing SubClassOf Thing and (hasChild some (Female and Person and Thing)),  True for
Thing and (hasChild some Female) and (hasChild some (Person and Thing)) SubClassOf Thing and (hasChild some (Female and Person and Thing)),  True for
Thing and (hasChild some Female) and (hasChild some (Person and Thing)) SubClassOf Female,  False.
Thing and (hasChild some (Female and Person and Thing)) SubClassOf Thing and (hasChild some (Female and Person and Thing)),  True.
Thing and (hasChild some (Person and Thing)) SubClassOf Female,  False.
Thing and (hasChild some (Female and Thing)) SubClassOf Female,  False.
Woman SubClassOf hasParent some OffSpring,  False.
Child and GrandParent SubClassOf OffSpring,  False.
Person SubClassOf hasChild some Child,  False.
Daughter and GrandMother SubClassOf Son,  False.
Man SubClassOf hasSex some Child,  False.
Brother and Son SubClassOf OffSpring,  False.
Daughter and Mother SubClassOf Woman,  True.
Daughter and Mother SubClassOf GrandMother,  False.
Daughter and Mother SubClassOf Son,  False.
Daughter and Mother SubClassOf Father,  False.
Daughter and Mother SubClassOf Child,  False.
Daughter and Mother SubClassOf Brother,  False.
Daughter and Mother SubClassOf Parent,  False.
Daughter and Mother SubClassOf Man,  False.
Daughter and Mother SubClassOf GrandParent,  False.
Daughter and Mother SubClassOf Sex,  False.
Daughter and Mother SubClassOf Sister,  False.
Daughter and Mother SubClassOf OffSpring,  True.
Daughter SubClassOf OffSpring and Thing,  True for
Daughter SubClassOf Female and OffSpring,  True for
Daughter SubClassOf OffSpring and Person,  True for
Daughter SubClassOf OffSpring and Woman,  True for
Daughter SubClassOf Female and OffSpring and Person and Thing,  Here are
Daughter SubClassOf Female and OffSpring and Person and Woman,  Here are
OffSpring and Sex SubClassOf Woman,  True for
Father and Man SubClassOf Male,  True.
Father and Man SubClassOf GrandMother,  False.
Father and Man SubClassOf Son,  False.
Father and Man SubClassOf Female,  False.
Father and Man SubClassOf Child,  False.
Father and Man SubClassOf Person,  True.
Father SubClassOf Person,  True.
Father SubClassOf GrandMother,  False.
Father SubClassOf Thing,  False.
Father SubClassOf Son,  False.
Father SubClassOf Female,  False.
Father SubClassOf Child,  False.
Father SubClassOf Brother,  False.
Father SubClassOf Parent,  False.
Father SubClassOf Daughter,  False.
Father SubClassOf Man,  False.
Father SubClassOf Mother,  False.
Father SubClassOf GrandParent,  False.
Father SubClassOf Sex,  False.
Father SubClassOf Sister,  False.
Father SubClassOf OffSpring,  False.
Father SubClassOf Woman,  False.
Father SubClassOf Male,  True.
Father SubClassOf Male and Person,  True,
Father SubClassOf Sibling,  False.
Father SubClassOf GrandFather,  False.
GrandParent SubClassOf Child,  False.
Female and GrandMother SubClassOf Sibling,  False.
GrandMother and Sister SubClassOf Male,  False.
Man SubClassOf hasSex some GrandFather,  False.
GrandParent SubClassOf hasChild some Man,  False.
hasChild some Female SubClassOf GrandParent,  I'
GrandMother and Mother SubClassOf GrandFather,  False.
Brother and Sex SubClassOf Sibling,  False.
Brother and Son SubClassOf Sibling,  False.
Father and Sex SubClassOf Daughter,  False.
hasSibling some Sister SubClassOf Mother,  False.
Father and Man SubClassOf Sex,  False.
hasParent some Child SubClassOf Brother,  False.
Female and Son SubClassOf Daughter,  False.
Brother and Parent SubClassOf Woman,  False.
GrandFather and GrandParent SubClassOf Sex,  False.
OffSpring and Sibling SubClassOf Female,  Offspring
GrandParent SubClassOf hasSex some Sibling,  False.
Brother and Daughter SubClassOf GrandParent,  False.
Sister and Son SubClassOf Man,  True.
Sister and Son SubClassOf GrandMother,  False.
Sister and Son SubClassOf Female,  False.
Sister and Son SubClassOf Father,  False.
Sister and Son SubClassOf Child,  False.
Sister and Son SubClassOf Person,  True.
Man and Parent SubClassOf Father,  False.
Sex and Woman SubClassOf GrandFather,  False.
Child and OffSpring SubClassOf Man,  False.
hasParent some GrandParent SubClassOf Father,  False.
hasSibling some Sibling SubClassOf Sibling,  True.
hasSibling some Sibling SubClassOf GrandMother,  False.
hasSibling some Sibling SubClassOf Son,  False.
hasSibling some Sibling SubClassOf Female,  False.
hasSibling some Sibling SubClassOf Father,  False.
hasSibling some Sibling SubClassOf Child,  False.
hasSibling some Sibling SubClassOf Person,  True.
Sibling SubClassOf Person,  False.
Thing SubClassOf Thing and (hasSibling some (Sibling and Thing)),  False,
Sibling and Thing SubClassOf GrandMother,  False.
Sibling and Thing SubClassOf Son,  False.
Sibling and Thing SubClassOf Female,  False.
Sibling and Thing SubClassOf Father,  False.
Sibling and Thing SubClassOf Child,  False.
Sibling and Thing SubClassOf Person,  False.
Sibling and Thing SubClassOf Brother,  False.
Sibling and Thing SubClassOf Parent,  False.
Sibling and Thing SubClassOf Daughter,  False.
Sibling and Thing SubClassOf Man,  False.
Sibling and Thing SubClassOf Mother,  False.
Sibling and Thing SubClassOf GrandParent,  False.
Sibling and Thing SubClassOf Sex,  False.
Sibling and Thing SubClassOf Sister,  False.
Sibling and Thing SubClassOf OffSpring,  False.
Sibling and Thing SubClassOf Woman,  False.
Sibling and Thing SubClassOf Male,  False.
Sibling and Thing SubClassOf GrandFather,  False.
Thing and (hasSibling some Sibling) and (hasSibling some Thing) SubClassOf Thing and (hasSibling some (Sibling and Thing)),  The first
Thing and (hasSibling some Sibling) and (hasSibling some Thing) SubClassOf Person,  False.
Thing and (hasSibling some (Sibling and Thing)) SubClassOf Thing and (hasSibling some (Sibling and Thing)),  True.
Thing and (hasSibling some Thing) SubClassOf Person,  False.
Brother and Person SubClassOf GrandFather,  False.
Sibling SubClassOf hasSex some GrandParent,  False.
Female SubClassOf hasChild some GrandFather,  False.
GrandFather and Parent SubClassOf Sibling,  False.
GrandParent and Person SubClassOf Brother,  False.
OffSpring and Sibling SubClassOf Son,  False.
Female and Woman SubClassOf Sibling,  False.
hasSibling some Daughter SubClassOf Parent,  False.
Child and Sister SubClassOf GrandMother,  False.
Female and Sibling SubClassOf Parent,  False.
hasSex some Person SubClassOf Parent,  It is
Daughter and Sex SubClassOf Parent,  False.
Female and Woman SubClassOf Sister,  False.
Person SubClassOf hasSex some OffSpring,  False.
GrandMother and Sibling SubClassOf Brother,  False.
OffSpring and Parent SubClassOf Father,  False.
Daughter and Father SubClassOf Parent,  False.
GrandFather and Sister SubClassOf Sibling,  False.
Child and Mother SubClassOf Father,  False.
Daughter and Son SubClassOf Child,  False.
Male and Sex SubClassOf Son,  False.
GrandFather and Sex SubClassOf Male,  False.
Brother and Person SubClassOf Child,  False.
Child and Mother SubClassOf Son,  False.
GrandFather and Sister SubClassOf Parent,  False.
hasParent some Parent SubClassOf Woman,  True.
hasParent some Parent SubClassOf GrandMother,  False.
hasParent some Parent SubClassOf Son,  False.
hasParent some Parent SubClassOf Female,  False.
hasParent some Parent SubClassOf Father,  False.
hasParent some Parent SubClassOf Child,  False.
hasParent some Parent SubClassOf Person,  True.
Parent SubClassOf Person,  False.
Thing SubClassOf Thing and (hasParent some (Parent and Thing)),  True,
Parent and Thing SubClassOf GrandMother,  False.
Parent and Thing SubClassOf Son,  False.
Parent and Thing SubClassOf Female,  False.
Parent and Thing SubClassOf Father,  False.
Parent and Thing SubClassOf Child,  False.
Parent and Thing SubClassOf Person,  False.
Parent and Thing SubClassOf Brother,  False.
Parent and Thing SubClassOf Daughter,  False.
Parent and Thing SubClassOf Man,  False.
Parent and Thing SubClassOf Mother,  False.
Parent and Thing SubClassOf GrandParent,  False.
Parent and Thing SubClassOf Sex,  False.
Parent and Thing SubClassOf Sister,  False.
Parent and Thing SubClassOf OffSpring,  False.
Parent and Thing SubClassOf Woman,  False.
Parent and Thing SubClassOf Male,  False.
Parent and Thing SubClassOf Sibling,  False.
Parent and Thing SubClassOf GrandFather,  False.
Thing and (hasParent some Parent) and (hasParent some Thing) SubClassOf Thing and (hasParent some (Parent and Thing)),  False.
Thing and (hasParent some Parent) and (hasParent some Thing) SubClassOf Person,  False.
Thing and (hasParent some (Parent and Thing)) SubClassOf Thing and (hasParent some (Parent and Thing)),  True.
Thing and (hasParent some Thing) SubClassOf Person,  False.
GrandParent SubClassOf hasSibling some OffSpring,  False.
Mother and OffSpring SubClassOf Male,  False.
Woman SubClassOf hasChild some Child,  True for
Female and Person SubClassOf Parent,  False.
Female and Mother SubClassOf Male,  False.
GrandParent SubClassOf OffSpring,  False.
GrandFather and Sibling SubClassOf Father,  False.
Daughter and Woman SubClassOf Sister,  False.
Man and Person SubClassOf Sibling,  False.
GrandMother and Sister SubClassOf Sibling,  False.
Male and Sex SubClassOf Female,  False.
Child and GrandParent SubClassOf Sister,  False.
Brother and Daughter SubClassOf Mother,  False.
Mother and Woman SubClassOf Sex,  False.
Father and Man SubClassOf Brother,  False.
Person and Sex SubClassOf Brother,  False.
Man and Parent SubClassOf Woman,  False.
hasChild some GrandParent SubClassOf Woman,  False.
Child and OffSpring SubClassOf Sex,  False.
Child and Sister SubClassOf Female,  True.
Child and Sister SubClassOf Son,  False.
GrandParent and Male SubClassOf Brother,  False.
Sibling SubClassOf hasSex some Mother,  False.
GrandMother and Sibling SubClassOf OffSpring,  False.
Father and Son SubClassOf OffSpring,  False.
Brother and Sister SubClassOf Man,  False.
GrandFather and Woman SubClassOf Father,  False.
hasSex some Sister SubClassOf GrandFather,  False.
hasSibling some Man SubClassOf Man,  False.
Man and Mother SubClassOf Person,  True.
Man and Mother SubClassOf GrandMother,  False.
Man and Mother SubClassOf Son,  False.
Man and Mother SubClassOf Female,  False.
Man and Mother SubClassOf Father,  False.
Man and Mother SubClassOf Child,  False.
Man SubClassOf Person,  False.
Mother SubClassOf Person,  False.
GrandParent and OffSpring SubClassOf Person,  True.
GrandParent and OffSpring SubClassOf GrandMother,  False.
GrandParent and OffSpring SubClassOf Son,  False.
GrandParent and OffSpring SubClassOf Female,  False.
GrandParent and OffSpring SubClassOf Father,  False.
GrandParent and OffSpring SubClassOf Child,  False.
GrandParent SubClassOf Person,  False.
OffSpring SubClassOf Person,  True.
OffSpring SubClassOf GrandMother,  False.
OffSpring SubClassOf Thing,  True.
OffSpring SubClassOf Person and Thing,  Offspring
OffSpring SubClassOf Son,  False.
OffSpring SubClassOf Female,  False.
OffSpring SubClassOf Father,  False.
OffSpring SubClassOf Child,  False.
OffSpring SubClassOf Brother,  False.
OffSpring SubClassOf Parent,  False.
OffSpring SubClassOf Daughter,  False.
OffSpring SubClassOf Man,  True.
OffSpring SubClassOf Man and Person,  OffSpring
OffSpring SubClassOf Mother,  False.
OffSpring SubClassOf GrandParent,  False.
OffSpring SubClassOf Sex,  False.
OffSpring SubClassOf Sister,  False.
OffSpring SubClassOf Woman,  False.
OffSpring SubClassOf Male,  False.
OffSpring SubClassOf Sibling,  False.
Child and Person SubClassOf Daughter,  False.
Daughter and Sister SubClassOf Sibling,  False.
hasChild some Male SubClassOf Sex,  True.
hasChild some Male SubClassOf GrandMother,  False.
hasChild some Male SubClassOf Son,  True.
Thing SubClassOf Thing and (hasChild some (Male and Man and Person and Thing)),  True for
Male and Man and Person and Thing SubClassOf GrandMother,  False.
Male and Man and Person and Thing SubClassOf Son,  False.
Male and Man and Person and Thing SubClassOf Female,  False.
Male and Man and Person and Thing SubClassOf Father,  False.
Male and Man and Person and Thing SubClassOf Child,  False.
Male and Man and Person and Thing SubClassOf Brother,  False.
Male and Man and Person and Thing SubClassOf Parent,  False.
Male and Man and Person and Thing SubClassOf Daughter,  False.
Male and Man and Person and Thing SubClassOf Mother,  False.
Male and Man and Person and Thing SubClassOf GrandParent,  False.
Male and Man and Person and Thing SubClassOf Sex,  False.
Male and Man and Person and Thing SubClassOf Sister,  False.
Male and Man and Person and Thing SubClassOf OffSpring,  False.
Male and Man and Person and Thing SubClassOf Woman,  False.
Male and Man and Person and Thing SubClassOf Sibling,  False.
Male and Man and Person and Thing SubClassOf GrandFather,  False.
Thing and (hasChild some Male) and (hasChild some (Man and Person and Thing)) SubClassOf Thing and (hasChild some (Male and Man and Person and Thing)),  True for
Thing and (hasChild some Male) and (hasChild some (Man and Person and Thing)) SubClassOf Son,  False.
Thing and (hasChild some (Male and Man and Person and Thing)) SubClassOf Thing and (hasChild some (Male and Man and Person and Thing)),  True for
Thing and (hasChild some (Male and Man and Person and Thing)) SubClassOf Son,  False.
Thing and (hasChild some (Man and Person and Thing)) SubClassOf Son,  False.
Thing and (hasChild some (Male and Person and Thing)) SubClassOf Son,  False.
Thing and (hasChild some (Male and Man and Thing)) SubClassOf Son,  False.
GrandMother SubClassOf hasSex some Female,  False.
Child and Sibling SubClassOf GrandParent,  False.
Parent and Son SubClassOf Mother,  False.
Sex SubClassOf OffSpring,  False.
Man SubClassOf hasChild some Female,  False.
GrandParent and Person SubClassOf Daughter,  False.
Daughter and Parent SubClassOf Sister,  False.
Man and Sex SubClassOf GrandMother,  False.
Person and Woman SubClassOf OffSpring,  False.
Child and GrandParent SubClassOf Parent,  False.
Daughter SubClassOf hasParent some Father,  True.
Daughter SubClassOf Woman and Thing,  True,
Daughter SubClassOf Female and Woman and Thing,  Here are
Daughter SubClassOf Person and Woman and Thing,  Here are
Daughter SubClassOf OffSpring and Woman and Thing,  Here are
GrandMother and Person SubClassOf OffSpring,  False.
GrandFather and Person SubClassOf Father,  False.
Daughter and Sibling SubClassOf Sister,  False.
GrandMother SubClassOf hasSex some Man,  False.
Father SubClassOf hasChild some Father,  False.
Woman SubClassOf hasParent some GrandParent,  False.
Male SubClassOf hasSibling some GrandParent,  False.
Female and Sex SubClassOf Sister,  False.
Brother SubClassOf GrandMother,  False.
GrandFather SubClassOf hasChild some GrandParent,  False.
Person and Sibling SubClassOf Sex,  False.
hasSibling some Male SubClassOf Person,  True.
hasSibling some Male SubClassOf GrandMother,  False.
hasSibling some Male SubClassOf Son,  True.
Thing SubClassOf Thing and (hasSibling some (Male and Man and Person and Thing)),  True for
Thing and (hasSibling some Male) and (hasSibling some (Man and Person and Thing)) SubClassOf Thing and (hasSibling some (Male and Man and Person and Thing)),  True for
Thing and (hasSibling some Male) and (hasSibling some (Man and Person and Thing)) SubClassOf Son,  False.
Thing and (hasSibling some (Male and Man and Person and Thing)) SubClassOf Thing and (hasSibling some (Male and Man and Person and Thing)),  True.
Thing and (hasSibling some (Man and Person and Thing)) SubClassOf Son,  False.
Thing and (hasSibling some (Male and Person and Thing)) SubClassOf Son,  False.
Thing and (hasSibling some (Male and Man and Thing)) SubClassOf Son,  False.
Father SubClassOf hasSex some GrandParent,  False.
Parent and Woman SubClassOf Daughter,  False.
Male SubClassOf hasParent some Daughter,  False.
Daughter and Female SubClassOf Sex,  True.
Daughter and Female SubClassOf GrandMother,  False.
Daughter and Female SubClassOf Son,  False.
Daughter and Female SubClassOf Father,  False.
Daughter and Female SubClassOf Child,  False.
Daughter and Female SubClassOf Brother,  False.
Daughter and Female SubClassOf Parent,  False.
Daughter and Female SubClassOf Man,  False.
Daughter and Female SubClassOf Mother,  False.
Daughter and Female SubClassOf GrandParent,  False.
Female SubClassOf Sex,  True.
Female SubClassOf Thing,  True.
Female SubClassOf Sex and Thing,  False,
Female SubClassOf Person and Sex,  True for
Female SubClassOf Brother,  False.
Female SubClassOf Parent,  False.
Female SubClassOf Daughter,  False.
Female SubClassOf Man,  False.
Female SubClassOf Mother,  False.
Female SubClassOf GrandParent,  False.
Female SubClassOf Sister,  False.
Female SubClassOf OffSpring,  False.
Female SubClassOf Woman,  True.
Female SubClassOf Sex and Woman,  True for
Female SubClassOf Male,  False.
Female SubClassOf Sibling,  False.
Female SubClassOf GrandFather,  False.
Female SubClassOf Person and Sex and Thing,  False:
Female SubClassOf Person and Sex and Woman,  True for
Brother and Sex SubClassOf Female,  False.
Female and Sister SubClassOf Brother,  False.
