Can Parent that is also Person be considered a subcategory of 'Father'?, False.
Can Mother be considered a subcategory of 'Daughter'?, False.
Can Mother be considered a subcategory of 'Man'?, False.
Can Mother be considered a subcategory of 'GrandParent'?, False.
Can Mother be considered a subcategory of 'Sex'?, False.
Can Mother be considered a subcategory of 'Sister'?, False.
Can Mother be considered a subcategory of 'OffSpring'?, False.
Can Mother be considered a subcategory of 'Woman'?, False.
Can Mother be considered a subcategory of 'Male'?, False.
Can Mother be considered a subcategory of 'Sibling'?, False
Can Mother be considered a subcategory of 'GrandFather'?, False
Can GrandMother be considered a subcategory of 'something that hasChild some Son'?, False.
Can Thing be considered a subcategory of 'something that hasChild some Son'?, False
Can Son be considered a subcategory of 'something that hasChild some Son'?, True.
Can something that hasChild some Son be considered a subcategory of 'something that hasChild some Son'?, False.
Can Son be considered a subcategory of 'GrandMother'?, False.
Can Son be considered a subcategory of 'Thing'?, True.
Can Son be considered a subcategory of 'Son'?, False.
Can Son be considered a subcategory of 'Female'?, False.
Can Son be considered a subcategory of 'Father'?, False.
Can Son be considered a subcategory of 'Child'?, False.
Can Son be considered a subcategory of 'Person'?, False.
Can Son be considered a subcategory of 'Brother'?, False.
Can Son be considered a subcategory of 'Parent'?, False.
Can Son be considered a subcategory of 'Daughter'?, False.
Can Son be considered a subcategory of 'Man'?, False.
Can Son be considered a subcategory of 'Mother'?, False.
Can Son be considered a subcategory of 'GrandParent'?, False.
Can Son be considered a subcategory of 'Sex'?, False.
Can Son be considered a subcategory of 'Sister'?, False.
Can Son be considered a subcategory of 'OffSpring'?, False.
Can Son be considered a subcategory of 'Woman'?, False.
Can Son be considered a subcategory of 'Male'?, True
Can Male be considered a subcategory of 'Son'?, False.
Can Male be considered a subcategory of 'something that hasChild some Son'?, False.
Can Son be considered a subcategory of 'Sibling'?, True.
Can Sibling be considered a subcategory of 'Son'?, False.
Can Sibling be considered a subcategory of 'something that hasChild some Son'?, False.
Can GrandMother be considered a subcategory of 'Son'?, False.
Can Female be considered a subcategory of 'Son'?, False
Can Father be considered a subcategory of 'Son'?, False.
Can Child be considered a subcategory of 'Son'?, False.
Can Person be considered a subcategory of 'Son'?, False
Can Brother be considered a subcategory of 'Son'?, False
Can Sex be considered a subcategory of 'Son'?, False.
Can Sister be considered a subcategory of 'Son'?, False.
Can OffSpring be considered a subcategory of 'Son'?, False.
Can Woman be considered a subcategory of 'Son'?, False.
Can GrandFather be considered a subcategory of 'Son'?, False.
Can Son be considered a subcategory of 'Thing that is also something that (hasChild some Son)'?, False.
Can Son be considered a subcategory of 'Male that is also something that (hasChild some Son)'?, False.
Can Son be considered a subcategory of 'Sibling that is also something that (hasChild some Son)'?, False.
Can Son be considered a subcategory of 'something that hasChild some (Son that is also Thing)'?, False.
Can Son be considered a subcategory of 'something that hasChild some (Male that is also Son)'?, False.
Can Son be considered a subcategory of 'something that hasChild some (Sibling that is also Son)'?, False.
Can GrandMother that is also Woman be considered a subcategory of 'Parent'?, False.
Can Father be considered a subcategory of 'something that hasSibling some Parent'?, True.
Can Father be considered a subcategory of 'GrandMother'?, False.
Can Father be considered a subcategory of 'Female'?, False.
Can Father be considered a subcategory of 'Child'?, False.
Can Father be considered a subcategory of 'Person'?, False.
Can Father be considered a subcategory of 'Brother'?, False.
Can Father be considered a subcategory of 'Parent'?, False
Can Father be considered a subcategory of 'Daughter'?, False.
Can Father be considered a subcategory of 'Man'?, False.
Can Father be considered a subcategory of 'Mother'?, False.
Can Father be considered a subcategory of 'GrandParent'?, False.
Can Father be considered a subcategory of 'Sex'?, False.
Can Father be considered a subcategory of 'Sister'?, False.
Can Father be considered a subcategory of 'OffSpring'?, False.
Can Father be considered a subcategory of 'Woman'?, False
Can Father be considered a subcategory of 'Male'?, False.
Can Father be considered a subcategory of 'Sibling'?, False.
Can Father be considered a subcategory of 'GrandFather'?, False.
Can GrandMother be considered a subcategory of 'something that hasSibling some Parent'?, False
Can Thing be considered a subcategory of 'something that hasSibling some Parent'?, False.
Can Son be considered a subcategory of 'something that hasSibling some Parent'?, False.
Can Female be considered a subcategory of 'something that hasSibling some Parent'?, False.
Can something that hasSibling some (Parent that is also Person) be considered a subcategory of 'something that hasSibling some (Parent that is also Person)'?, False.
Can Father be considered a subcategory of 'Thing'?, False.
Can Father be considered a subcategory of 'Father'?, False.
Can GrandMother be considered a subcategory of 'Parent that is also Person'?, False.
Can Thing be considered a subcategory of 'Parent that is also Person'?, False.
Can Son be considered a subcategory of 'Parent that is also Person'?, False.
Can Female be considered a subcategory of 'Parent that is also Person'?, False.
Can Father be considered a subcategory of 'Parent that is also Person'?, False.
Can Child be considered a subcategory of 'Parent that is also Person'?, False.
Can Person be considered a subcategory of 'Parent that is also Person'?, False.
Can Brother be considered a subcategory of 'Parent that is also Person'?, True.
Can Brother be considered a subcategory of 'GrandMother'?, False.
Can Brother be considered a subcategory of 'Thing'?, True.
Can Brother be considered a subcategory of 'Parent that is also Person that is also Thing'?, False.
Can Brother be considered a subcategory of 'Female'?, False.
Can Brother be considered a subcategory of 'Father'?, False
Can Brother be considered a subcategory of 'Child'?, False.
Can Brother be considered a subcategory of 'Daughter'?, False.
Can Brother be considered a subcategory of 'Man'?, False.
Can Brother be considered a subcategory of 'Mother'?, False.
Can Brother be considered a subcategory of 'GrandParent'?, False.
Can Brother be considered a subcategory of 'Sex'?, False.
Can Brother be considered a subcategory of 'Sister'?, False
Can Brother be considered a subcategory of 'OffSpring'?, False.
Can Brother be considered a subcategory of 'Woman'?, False.
Can Brother be considered a subcategory of 'Male'?, False.
Can Brother be considered a subcategory of 'Sibling'?, False.
Can Brother be considered a subcategory of 'GrandFather'?, False.
Can Parent that is also Sex be considered a subcategory of 'OffSpring'?, False.
Can something that hasParent some Brother be considered a subcategory of 'OffSpring'?, False.
Can GrandParent that is also Sex be considered a subcategory of 'Child'?, False.
Can Brother that is also OffSpring be considered a subcategory of 'Son'?, False.
Can GrandParent that is also Sister be considered a subcategory of 'Male'?, False.
Can Man that is also Sibling be considered a subcategory of 'Child'?, False.
Can Daughter that is also GrandFather be considered a subcategory of 'Woman'?, False.
Can Father that is also Female be considered a subcategory of 'Sister'?, False.
Can GrandFather that is also Man be considered a subcategory of 'Woman'?, False.
Can Child that is also Woman be considered a subcategory of 'Sex'?, False.
Can Child that is also Parent be considered a subcategory of 'Female'?, False.
Can Brother that is also OffSpring be considered a subcategory of 'Mother'?, False.
Can Father that is also GrandParent be considered a subcategory of 'Woman'?, False.
Can something that hasChild some Sister be considered a subcategory of 'Female'?, False.
Can GrandMother that is also Man be considered a subcategory of 'Woman'?, False.
Can Brother be considered a subcategory of 'something that hasSex some Mother'?, False.
Can GrandFather that is also Son be considered a subcategory of 'Child'?, False.
Can Sibling that is also Son be considered a subcategory of 'Brother'?, False.
Can Male that is also Sex be considered a subcategory of 'Brother'?, False.
Can something that hasSibling some Sex be considered a subcategory of 'Son'?, False.
Can Father that is also Parent be considered a subcategory of 'Woman'?, False.
Can Male that is also Person be considered a subcategory of 'Child'?, False.
Can something that hasParent some Daughter be considered a subcategory of 'Son'?, True.
Can something that hasParent some Daughter be considered a subcategory of 'GrandMother'?, False.
Can Thing be considered a subcategory of 'something that hasParent some (Daughter that is also OffSpring)'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'GrandMother'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Son'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Female'?, False
Can Daughter that is also OffSpring be considered a subcategory of 'Child'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Person'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Brother'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Parent'?, False
Can Daughter that is also OffSpring be considered a subcategory of 'Man'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Mother'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'GrandParent'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Sex'?, False
Can Daughter that is also OffSpring be considered a subcategory of 'Sister'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'Woman'?, False
Can Daughter that is also OffSpring be considered a subcategory of 'Male'?, False
Can Daughter that is also OffSpring be considered a subcategory of 'Sibling'?, False.
Can Daughter that is also OffSpring be considered a subcategory of 'GrandFather'?, False.
Can something that (hasParent some Daughter) that is also something that (hasParent some OffSpring) be considered a subcategory of 'something that hasParent some (Daughter that is also OffSpring)'?, False.
Can something that (hasParent some Daughter) that is also something that (hasParent some OffSpring) be considered a subcategory of 'Son'?, False.
Can something that hasParent some (Daughter that is also OffSpring) be considered a subcategory of 'something that hasParent some (Daughter that is also OffSpring)'?, False.
Can something that hasParent some (Daughter that is also OffSpring) be considered a subcategory of 'Son'?, False.
Can something that hasParent some OffSpring be considered a subcategory of 'Son'?, False
Can something that hasSibling some GrandFather be considered a subcategory of 'Father'?, False.
Can Father that is also Person be considered a subcategory of 'Sister'?, False.
Can Male that is also Parent be considered a subcategory of 'Man'?, True.
Can Male that is also Parent be considered a subcategory of 'GrandMother'?, False.
Can Male that is also Parent be considered a subcategory of 'Son'?, False
Can Male that is also Parent be considered a subcategory of 'Female'?, False.
Can Male that is also Parent be considered a subcategory of 'Father'?, False.
Can Male that is also Parent be considered a subcategory of 'Child'?, False.
Can Male that is also Parent be considered a subcategory of 'Brother'?, False
Can Male that is also Parent be considered a subcategory of 'Daughter'?, False
Can Male be considered a subcategory of 'Man'?, True.
Can Male be considered a subcategory of 'GrandMother'?, False
Can Male be considered a subcategory of 'Thing'?, False
Can Male be considered a subcategory of 'Female'?, False.
Can Male be considered a subcategory of 'Father'?, False.
Can Male be considered a subcategory of 'Child'?, False.
Can Male be considered a subcategory of 'Person'?, False.
Can Male be considered a subcategory of 'Brother'?, False.
Can Male be considered a subcategory of 'Parent'?, False.
Can Male be considered a subcategory of 'Daughter'?, False.
Can Male be considered a subcategory of 'Mother'?, False
Can Male be considered a subcategory of 'GrandParent'?, False.
Can Male be considered a subcategory of 'Sex'?, True.
Can Male be considered a subcategory of 'Man that is also Sex'?, False
Can Male be considered a subcategory of 'Sister'?, False.
Can Male be considered a subcategory of 'OffSpring'?, False.
Can Male be considered a subcategory of 'Woman'?, False.
Can Male be considered a subcategory of 'Sibling'?, False.
Can Male be considered a subcategory of 'GrandFather'?, False
Can something that hasParent some Father be considered a subcategory of 'Father'?, False.
Can Female that is also Parent be considered a subcategory of 'GrandParent'?, False.
Can Brother be considered a subcategory of 'something that hasParent some GrandParent'?, True
Can GrandMother be considered a subcategory of 'something that hasParent some GrandParent'?, False.
Can Thing be considered a subcategory of 'something that hasParent some GrandParent'?, True.
Can something that hasParent some (GrandParent that is also Person) be considered a subcategory of 'something that hasParent some (GrandParent that is also Person)'?, False.
Can Thing be considered a subcategory of 'Thing'?, False.
Can GrandMother be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Thing be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Son be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Female be considered a subcategory of 'GrandParent that is also Person'?, False
Can Father be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Child be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Person be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Brother be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Parent be considered a subcategory of 'GrandParent that is also Person'?, This statement
Can Daughter be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Man be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Mother be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Sex be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Sister be considered a subcategory of 'GrandParent that is also Person'?, False.
Can OffSpring be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Woman be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Male be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Sibling be considered a subcategory of 'GrandParent that is also Person'?, False
Can GrandFather be considered a subcategory of 'GrandParent that is also Person'?, False.
Can Daughter that is also GrandFather be considered a subcategory of 'Sibling'?, False.
Can Child that is also Sibling be considered a subcategory of 'Person'?, False.
Can something that hasSex some Female be considered a subcategory of 'Female'?, False.
Can something that hasSibling some Mother be considered a subcategory of 'Daughter'?, False.
Can Woman be considered a subcategory of 'something that hasSibling some GrandFather'?, False.
Can Male that is also Sibling be considered a subcategory of 'GrandFather'?, False.
Can Daughter that is also Father be considered a subcategory of 'Brother'?, False.
Can Sister be considered a subcategory of 'something that hasSex some Daughter'?, False.
Can Man be considered a subcategory of 'something that hasChild some Sibling'?, False.
Can something that hasSex some Sibling be considered a subcategory of 'Brother'?, False.
Can something that hasChild some Female be considered a subcategory of 'Mother'?, False.
Can Woman be considered a subcategory of 'something that hasParent some OffSpring'?, True.
Can Woman be considered a subcategory of 'GrandMother'?, False.
Can Woman be considered a subcategory of 'Female'?, False.
Can Woman be considered a subcategory of 'Father'?, False
Can Woman be considered a subcategory of 'Child'?, False.
Can Woman be considered a subcategory of 'Person'?, True.
Can Woman be considered a subcategory of 'Thing'?, True.
Can Woman be considered a subcategory of 'Person that is also Thing'?, False.
Can Woman be considered a subcategory of 'Brother'?, False.
Can Woman be considered a subcategory of 'Parent'?, False.
Can Woman be considered a subcategory of 'Daughter'?, False.
Can Woman be considered a subcategory of 'Man'?, False.
Can Woman be considered a subcategory of 'Mother'?, False
Can Woman be considered a subcategory of 'GrandParent'?, False.
Can Woman be considered a subcategory of 'Sex'?, False.
Can Woman be considered a subcategory of 'Sister'?, False.
Can Woman be considered a subcategory of 'OffSpring'?, False
Can Woman be considered a subcategory of 'Male'?, False.
Can Woman be considered a subcategory of 'Sibling'?, False
Can Woman be considered a subcategory of 'GrandFather'?, False.
Can Child that is also GrandParent be considered a subcategory of 'OffSpring'?, False.
Can Person be considered a subcategory of 'something that hasChild some Child'?, False.
Can Daughter that is also GrandMother be considered a subcategory of 'Son'?, False.
Can Man be considered a subcategory of 'something that hasSex some Child'?, False.
Can Brother that is also Son be considered a subcategory of 'OffSpring'?, True.
Can Brother that is also Son be considered a subcategory of 'GrandMother'?, False.
Can Brother that is also Son be considered a subcategory of 'Female'?, False.
Can Brother that is also Son be considered a subcategory of 'Father'?, False.
Can Brother that is also Son be considered a subcategory of 'Child'?, False.
Can Brother that is also Son be considered a subcategory of 'Daughter'?, False.
Can Brother that is also Son be considered a subcategory of 'Man'?, True.
Can Daughter that is also Mother be considered a subcategory of 'Woman'?, False.
Can OffSpring that is also Sex be considered a subcategory of 'Woman'?, False.
Can Father that is also Man be considered a subcategory of 'Male'?, False.
Can Female that is also GrandMother be considered a subcategory of 'Sibling'?, False.
Can GrandMother that is also Sister be considered a subcategory of 'Male'?, False.
Can Man be considered a subcategory of 'something that hasSex some GrandFather'?, False.
Can GrandParent be considered a subcategory of 'something that hasChild some Man'?, True.
Can GrandParent be considered a subcategory of 'Parent'?, False.
Can GrandParent be considered a subcategory of 'Daughter'?, False.
Can GrandParent be considered a subcategory of 'Man'?, False.
Can GrandParent be considered a subcategory of 'Mother'?, False.
Can GrandParent be considered a subcategory of 'Sex'?, False
Can GrandParent be considered a subcategory of 'Sister'?, False.
Can GrandParent be considered a subcategory of 'OffSpring'?, False.
Can GrandParent be considered a subcategory of 'Male'?, False.
Can GrandParent be considered a subcategory of 'Sibling'?, False.
Can GrandParent be considered a subcategory of 'GrandFather'?, False.
Can GrandMother be considered a subcategory of 'something that hasChild some Man'?, False.
Can Thing be considered a subcategory of 'something that hasChild some Man'?, False.
Can Son be considered a subcategory of 'something that hasChild some Man'?, False
Can Female be considered a subcategory of 'something that hasChild some Man'?, False.
Can Father be considered a subcategory of 'something that hasChild some Man'?, True.
Can Thing that is also something that (hasChild some Man) be considered a subcategory of 'Thing that is also something that (hasChild some Man)'?, False.
Can GrandMother be considered a subcategory of 'Man'?, False
Can Female be considered a subcategory of 'Man'?, False.
Can Child be considered a subcategory of 'Man'?, False.
Can Person be considered a subcategory of 'Man'?, False.
Can Sex be considered a subcategory of 'Man'?, False.
Can Sister be considered a subcategory of 'Man'?, False.
Can OffSpring be considered a subcategory of 'Man'?, False.
Can Sibling be considered a subcategory of 'Man'?, False.
Can GrandFather be considered a subcategory of 'Man'?, False.
Can Thing that is also something that (hasChild some (Man that is also Thing)) be considered a subcategory of 'Thing that is also something that (hasChild some (Man that is also Thing))'?, False
Can GrandMother be considered a subcategory of 'Man that is also Thing'?, False.
Can Thing be considered a subcategory of 'Man that is also Thing'?, False
Can Son be considered a subcategory of 'Man that is also Thing'?, False.
Can Female be considered a subcategory of 'Man that is also Thing'?, False.
Can Father be considered a subcategory of 'Man that is also Thing'?, False.
Can Child be considered a subcategory of 'Man that is also Thing'?, False.
Can Person be considered a subcategory of 'Man that is also Thing'?, False.
Can Brother be considered a subcategory of 'Man that is also Thing'?, False.
Can Parent be considered a subcategory of 'Man that is also Thing'?, False.
Can Daughter be considered a subcategory of 'Man that is also Thing'?, True
Can something that hasChild some Female be considered a subcategory of 'GrandParent'?, False.
Can GrandMother that is also Mother be considered a subcategory of 'GrandFather'?, False.
Can Brother that is also Sex be considered a subcategory of 'Sibling'?, False.
Can Brother that is also Son be considered a subcategory of 'Sibling'?, False.
Can Daughter that is also GrandMother be considered a subcategory of 'Female'?, False
Can Father that is also Sex be considered a subcategory of 'Daughter'?, False
Can something that hasSibling some Sister be considered a subcategory of 'Mother'?, False.
Can Father that is also Man be considered a subcategory of 'Sex'?, False.
Can something that hasParent some Child be considered a subcategory of 'Brother'?, False
Can Female that is also Son be considered a subcategory of 'Daughter'?, False.
Can Brother that is also Parent be considered a subcategory of 'Woman'?, False.
Can GrandFather that is also GrandParent be considered a subcategory of 'Sex'?, False.
Can OffSpring that is also Sibling be considered a subcategory of 'Female'?, False.
Can GrandParent be considered a subcategory of 'something that hasSex some Sibling'?, False.
Can Brother that is also Daughter be considered a subcategory of 'GrandParent'?, False.
Can Father that is also Man be considered a subcategory of 'GrandMother'?, False.
Can Sister that is also Son be considered a subcategory of 'Man'?, False.
Can Man that is also Parent be considered a subcategory of 'Father'?, False.
Can Sex that is also Woman be considered a subcategory of 'GrandFather'?, False.
Can Child that is also OffSpring be considered a subcategory of 'Man'?, False.
Can Father that is also Son be considered a subcategory of 'Person'?, False
Can GrandFather that is also Male be considered a subcategory of 'Person'?, False
Can something that hasParent some GrandParent be considered a subcategory of 'Father'?, False.
Can something that hasSibling some Sibling be considered a subcategory of 'Sibling'?, False.
Can Brother that is also Person be considered a subcategory of 'GrandFather'?, False.
Can Daughter that is also Woman be considered a subcategory of 'Female'?, False.
