Parent and Person SubClassOf Father, True
GrandParent SubClassOf Male, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Son and Woman, \nTrue
GrandParent SubClassOf Sibling, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman, \nTrue
GrandParent SubClassOf GrandFather, True
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman, \nTrue
GrandParent SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Son and Woman and Thing, \nTrue
Son SubClassOf hasSex some Parent, True
Son SubClassOf GrandMother, True
Son SubClassOf Thing, True
Son SubClassOf GrandMother and Thing, \nTrue
Son SubClassOf Female, \nTrue
Son SubClassOf Female and GrandMother and Thing, True
Son SubClassOf Father, True
Son SubClassOf Father and Female and GrandMother and Thing, True
Son SubClassOf Child, True
Son SubClassOf Child and Father and Female and GrandMother and Thing, \nTrue
Son SubClassOf Person, True
Son SubClassOf Child and Father and Female and GrandMother and Person and Thing, \nTrue
Son SubClassOf Brother, True
Son SubClassOf Brother and Child and Father and Female and GrandMother and Person and Thing, \nTrue
Son SubClassOf Parent, True
Son SubClassOf Brother and Child and Father and Female and GrandMother and Parent and Person and Thing, \nTrue
Son SubClassOf Daughter, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Parent and Person and Thing, \nTrue
Son SubClassOf Man, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Thing, \nTrue
Son SubClassOf Mother, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Thing, \nTrue
Son SubClassOf GrandParent, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Thing, \nTrue
Son SubClassOf Sex, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Thing, \nTrue
Son SubClassOf Sister, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Thing, \nTrue
Son SubClassOf OffSpring, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Thing, \nTrue
Son SubClassOf Woman, \nTrue
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Woman and Thing, \nTrue
Son SubClassOf Male, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Woman and Thing, \nTrue
Son SubClassOf Sibling, True
Son SubClassOf Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Woman and Thing, \nTrue
Son SubClassOf GrandFather, \nFalse
Parent SubClassOf hasChild some Male, True
GrandMother SubClassOf hasChild some Male, True
GrandMother and (hasChild some Male) SubClassOf GrandMother and (hasChild some Male), \nTrue
GrandMother SubClassOf Thing, True
GrandMother SubClassOf GrandMother and Thing and (hasChild some Male), True
GrandMother SubClassOf Son, True
GrandMother SubClassOf GrandMother and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Female, True
GrandMother SubClassOf Female and GrandMother and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Father, True
GrandMother SubClassOf Father and Female and GrandMother and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Child, True
GrandMother SubClassOf Child and Father and Female and GrandMother and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Person, True
GrandMother SubClassOf Child and Father and Female and GrandMother and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Brother, \nFalse
GrandMother SubClassOf Parent, True
GrandMother SubClassOf Child and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Daughter, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Man, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Mother, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf GrandParent, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Sex, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Sister, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf OffSpring, \nFalse
GrandMother SubClassOf Woman, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Male, False
GrandMother SubClassOf Sibling, False.
GrandMother SubClassOf GrandFather, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some Male), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (GrandMother and Male)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (GrandMother and Male and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (GrandMother and Male and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Female and GrandMother and Male and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Father and Female and GrandMother and Male and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Father and Female and GrandMother and Male and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Father and Female and GrandMother and Male and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Father and Female and GrandMother and Male and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and Male and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and Male and Man and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and Male and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True.
Male SubClassOf hasSibling some Mother, True
GrandMother SubClassOf hasSibling some Mother, True
GrandMother and (hasSibling some Mother) SubClassOf GrandMother and (hasSibling some Mother), True
GrandMother SubClassOf GrandMother and Thing and (hasSibling some Mother), True
GrandMother SubClassOf GrandMother and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Female and GrandMother and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Father and Female and GrandMother and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some Mother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (GrandMother and Mother)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (GrandMother and Mother and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (GrandMother and Mother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Female and GrandMother and Mother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandMother and Mother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Father and Female and GrandMother and Mother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Father and Female and GrandMother and Mother and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Father and Female and GrandMother and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True.
Son SubClassOf hasParent some Brother, True
GrandMother SubClassOf hasParent some Brother, True
GrandMother and (hasParent some Brother) SubClassOf GrandMother and (hasParent some Brother), \nTrue
GrandMother SubClassOf GrandMother and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf GrandMother and Son and Thing and (hasParent some Brother), True
GrandMother SubClassOf Female and GrandMother and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Father and Female and GrandMother and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Person and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasParent some Brother), \nTrue
